Network_x,DB_x,Interpreter_x,Logging_x,Data Structure_x,i18n_x,Setup_x,Microservices_x,Test_x,IO_x,UI_x,App_x,prNumber,Network_y,DB_y,Interpreter_y,Logging_y,Data Structure_y,i18n_y,Setup_y,Microservices_y,Test_y,IO_y,UI_y,App_y,issueTitle,issueBody,issue_Comments
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,491,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,add close all/others/ in database tab menu,see #314,|| :+1: :sunglasses:  || continue discussion in pr #491
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,677,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,make bibtex parser more robust against missing newlines,as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line) ie `% encoding: myencoding @article{}`actually as the tests reveal it was not a problem with the actual parser but within the file opening logic i dont view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improvedalso fix a bug that prevented the import of bibtex entries having only a key as its content,|| related #621 || @tobiasdiez is this fixed? || @stefan-kolb it will be fixed with #718  || too late in the evening should have seen that myself :smile: :+1:
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,915,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,add button in preference dialog to reset preferences,implements #455 and/or   change in changelogmd described?-  ? ( )-  ? - only ui change-  ?,|| you can reset the preferences by starting jabref with `java -jar jabref-211jar --prdef all -n` || we dont really need two issues in different repositories for the very same thing do we? is enough
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1056,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,fixes npe in export to external db,fixes npe in export to external dbadd db type to export succesful messagereformatting#1055no changelog because i think it was new introduced by the redesign of the entry sorting (passing null),|| i am looking into that seems like i found the problem || yes someone still passes `null` to the entries argument which was the old version to indicate that all entries should be sorted  || @tobiasdiez  yep there is missing a getselectedentries() as parameter || hmm i thought that i (ie eclipse) had found all performexport calls but obviously not
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,added option to copy version information in the about dialog,added option to copy version information of jabref in the about dialog as described in #871 this will help with filing issues and bug reports as the version of jabref os and java will be copied -  change in changelogmd described-  -   ()![screen shot 2016-04-25 at 22 38 58](https://cloudentcom/assets/15340757/14798171/915a5bbc-0b36-11e6-8bbf-b01cb100b2cdpng),|| additionally i note some weird characters among the author names they appear both on your screenshot and on my linux computer || the weird characters are because of [gradle-1267]( fixed by  which is not integrated yetsee also #682 || see intelij copy to clipboard link in about dialog || @boceckts could you port the copy and paste from #964 to the `master` branch (without javafx libraries)? || refs #968 (javafx) and #1298 (swing) i think its solved
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,update localization instructions,corrected gradlew task name#1312@koppor  @stefan-kolb,|| in my other pr  #1265   already changed the error/info text output of the consistencytest  output to the new gradle task name edit// linked wrong pr || @siedlerchr wrong pr referenced?
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1397,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,add fields for nbibimporter and add testfile,regarding: 1063]( medlineplain importer doesnt have all fields that the nbib format has so i added the fields to the medlineplain format and added a test+ testfile for the nbib formata list of the elements that should be imported now can be found [here](  ,|| at least for their xml fomat there is a simple xsl-script: i found a kind of reference-field-list for the nbib-medline format and their meanings: with this table: || hm we got a medline fetcher whats the difference between our medline/medline plain and nbib? || medline plain is a subset of nbib so every field of medline plain is also a field of nbib but not every nbib field is in the medline plain format i will prepare a pr where i add the fields to the medline plain importerafter that i will take care of medline and nbib || ive added the nbib fields to medline and medlineplain so i think this issue can be closed now
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1429,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1342: show description of case converters as tooltip,<describe the changes you have made here:  >-  change in changelogmd described-  -   (),|| this was supported in a previous jabref version but was changed to have standardized names due to  the save actions || in that case will the right-click menu be disappearing from the interface?  i like the idea of consistency applied through save actions / clean-up  however if a user is interactively using the feature when entering text in a box it would seem better to have context immediately provided || we add a tooltip with the description what the formatter does when hovering over the action in the right-click menu this should suffice :) || a tooltip would be great thanks!
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1453,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,refactor placement of parsing and writing logic,according to the following conventions:- all objects which can be read from a string have `public static type parse(stringy input)` method- all objects which can be written to a string have a `public stringy getasstring()` methodshould 888## -  change in changelogmd described-  -   (),|| my 2 cents: for the file field we provided a class that can convert from string to list<parsedfilefield> and back to me the bibwriter and bibparser know how to write bibentries using key/value pairs of strings and metadata in its general format all other information should be part of such converter classesbut i am not sure whether this approach is currently feasible for the metadata as its serialization and parsing is highly customized and does not follow a general scheme as the bibtex structure does || i have been dealing with the serialization of `metadata` a lot lately i can say that it is feasible to extract this logic currently it is quite localized in private methods in the parser and writer and we should be able to move it without too much effort the difficult part about serializing `metadata` is that every tag has very specific serialization conventions which requires a lot of if/elseif structuring moreover i dont think this will require a lot of new classes after all for what kind of data do we need such transformers? `metadata` `customentrytype` what else?the parser and writer would benefit from a simplifaction so i am for moving this logic
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1599,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,fixed #1592,this should 1592-  change in changelogmd described,|| there is a version that should fix this at  (in 15 minutes or so) please try it out || it works as expected nowthanks for fixing it so quickly!
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1671,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1288 newly opened bib-file is not focused,-  open a new file and it is correctly focused afterwards-  open a file that was already opened before is correctly focused afterwards-  open a file two times and it is only opened once,|| should be a focus thing inside `jabrefguijava` near line 108
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1942,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,mods importer,regarding: #1920 adds an importer for the mods (xml) format the importer is written with a jaxb parserdetails on the format and the newest xml schema can be found [here]( used the newest schema (version 36)-  change in changelogmd described-  -  manually tested changed features in running jabref,|| +1 || i will close this as everything seems to be done
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1944,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,try around with xmlunit,   -->see #1943 for details -  change in changelogmd described-  -   ()-  manually tested changed features in running jabref-   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?),
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1981,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,icon does not change when toggling global search,issue: #1979,
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,fix highlighting issues,2133earlier highlighting was done manually by adding tags to matches in the html text being sent to the pane instead i have opted to make use of the highlighting features of the jeditorpane class this gives the additional benefit that the highlight colour is changed automatically based on the system theme changes - created jeditorpanewithhighlighting class- removed matchhighlighter class and its tests- removed highlighting related tests from layoutentrytest-  change in changelogmd described-  -   ()-  manually tested changed features in running jabref-   ( [helpjabreforg](  if you changed the localization: did you run `gradle ate`?,
