Author,issueTitle,issueBody,issueComments
Admir Obralija,,,
Rob Platt,,,
Stefan Kolb,  fix linebreaking mimetypedetector improvements tab for remaining fields mac graphics 1771 show all supported import types as default file filter groups: searching for keywords field mandatory value not checked groups: searching for keywords field mandatory value not checked icons from material design icons not recognized icons from material design icons not recognized, evaluating the usage and problems of #114what is fieldcontentparser really doing? what is jabref style formatting? see #824- added a  stubbing library- added a redirection test- added a mime type variation test- changed detection implementation to  like it works see #454 4070 @linusdietz @halirutan  can you also take a look as you own a mac please 😄 little bit tricky to get this done would have preferred a cleaner option but i still need access to some jfilechooser methods closes #6108 closes #6066 -  alert dialog triggered(  active info icons:![image](  inactive info icons![image](  dialog should not close when error dialog is discarded!@calixtus not sure if we have this problem in more dialogs the `setresultconverter` method will always close the dialog we want to go abck to the dialog if errors are displayed as alert dialogs  however we need to use `addeventfilter` for this i guess (am no expert in javafx @tobiasdiez) see dialog validation section at https://docsoraclecom/javase/8/javafx/api/javafx/scene/control/dialoghtml closes #6108 closes #6066 -  alert dialog triggered(  active info icons:![image](  inactive info icons![image](  dialog should not close when error dialog is discarded!@calixtus not sure if we have this problem in more dialogs the `setresultconverter` method will always close the dialog we want to go abck to the dialog if errors are displayed as alert dialogs  however we need to use `addeventfilter` for this i guess (am no expert in javafx @tobiasdiez) see dialog validation section at https://docsoraclecom/javase/8/javafx/api/javafx/scene/control/dialoghtml 6078related #5245@jabref/developers  2b760cddf53cceae54fd149774226461f5290daa caused this issue only icons contained inside jabreficons are available nowthe question is - do we really want this feature? not sure if changing the line back to ```        return enumsgetifpresent(materialdesigniconclass iconcodetouppercase(localeenglish))                    tojavautil()                    map(icon -> new internalmaterialdesignicon(getcolor() icon))``` will reintroduce the referenced issue ( feature also only makes sense if we have a dropdown with all available icons inside the new/edit group dialog imho(https://user-imagesentcom/2141507/76682572-845c6380-65fd-11ea-9384-8b105d66bd76png) 6078related #5245@jabref/developers  2b760cddf53cceae54fd149774226461f5290daa caused this issue only icons contained inside jabreficons are available nowthe question is - do we really want this feature? not sure if changing the line back to ```        return enumsgetifpresent(materialdesigniconclass iconcodetouppercase(localeenglish))                    tojavautil()                    map(icon -> new internalmaterialdesignicon(getcolor() icon))``` will reintroduce the referenced issue ( feature also only makes sense if we have a dropdown with all available icons inside the new/edit group dialog imho(https://user-imagesentcom/2141507/76682572-845c6380-65fd-11ea-9384-8b105d66bd76png)," "" || the remaining code of `filecontentparserformat` is a complete mess of one-off hacks i am very much for deleting it and rewriting the parsing logic to just remove newlines for non-multiline fields and ignore tabs or spaces completely if we document that with tests at least we know what the code is doing  || 859274e54af0948108ff16fa697dabb595768c12 replaces the weird code in `fieldcontentparser` with a single (and simple) regex now the tests pass and as far as i can tell #114 and #186 are fixed could someone else please double check? (note: parsing is only done when loading the file so if you add faulty text to a field you can save it as such on restart the errors should be fixed by the parser) if something is not quite right please add the faulty behavior as a test! || thanks @stefan-kolb! the """"file"""" field is now ignored from parsing || ok i think we are good to go you can also close all other mentioned issues for now! || works great here :+1: "" || @koppor do you know how to host files and redirection on wwwjabreforg? || file hosting: even though it is possible to add files by adding them to  (gh-pages branch) i would propose to create a new url `testjabreforg` where we host such files we should not mix pagesredirections: they are possible at github using html redirects:  however these are not the redirects we are aiming for i can setup `testjabreforg` on my private server and create some redirects || ok we can mock the  request via wiremock should be way better than having an external dependency to our homepage || when is this updated? will this update on the fly if i change the config? || dont think so as the fieldeditor is somehow cached i think || what is the state here? what is missing to get this merged? || @stefan-kolb is working on it i removed the label to make it clear that is currently under work  || think its ok to merge || should also be backported to v4x || @stefan-kolb i certainly can test something but what exactly should i look out for? with jabref open should my macbook use the integrated graphics-card or the fast one? or should i only test if jabref works? || it should use the integrated card || fyi: i just upgraded from jabref 42 to 431 i had to correct the plist again to have jabref use the integrated graphics card see [ so i guess that we are just waiting for your corrections to be merged || it seems to work my *activity monitor* says that jabref does not require high-performance gpu is there anything else i should look out for? || i guess thats it @linusdietz  || i guess that is the correct indicator i originally used gfxcardstatus to verify this but i now also compared both cases (old and new) with activity monitor and it is consistent> on 7 jun 2018 at 15:16 patrick scheibe <notifications@githubcom> wrote:> > it seems to work my activity monitor says that jabref does not require high-performance gpu is there anything else i should look out for?> > —> you are receiving this because you commented> reply to this email directly view it on github < or mute the thread <https://githubcom/notifications/unsubscribe-auth/afhuzmssucntyidon1yyuabj7aca1-1uks5t6setgajpzm4uxrhk>> || @siedlerchr this is one for you to review :smile:  || generally a good solution but i would move the logic to the importfilefilter makes it a bit more clear "" || in other dialogs we dont show any error message instead we disable the ok buton until all required fields are set the dialog is duplicate see for example the shareddatabaselogin dialog || @siedlerchr i really like that metaphor think its also in place in angular apps ^^ refs  (which states that we should document it) || i agree but thats not what i fixed and what the pr is about -) || i agree that the ok-button should be disabled in case there are validation errors the code for this seems to be in place as well so i guess there is a bug somewhere @siedlerchr @calixtus do you have an idea where? || i did take a look at the code and tried a little bit around but i must confess i dont ever reach the alert dialog the button disableproperty is with this pr now completly and correctly """"bound"""" to the validation status and im unable to click the button so huh?also i agree to the button-disabled-metaphor || so simply remove the dialog and all is done || disabled button should work except for when the dialog is opened at first the checks only come into place when one has entered data in the mandatory fields we need to trigger the validation after initialization to change this || can we track the additional changes in a follow up issue? id rather limit this pr to the fixes  if possible"" "" || in other dialogs we dont show any error message instead we disable the ok buton until all required fields are set the dialog is duplicate see for example the shareddatabaselogin dialog || @siedlerchr i really like that metaphor think its also in place in angular apps ^^ refs  (which states that we should document it) || i agree but thats not what i fixed and what the pr is about -) || i agree that the ok-button should be disabled in case there are validation errors the code for this seems to be in place as well so i guess there is a bug somewhere @siedlerchr @calixtus do you have an idea where? || i did take a look at the code and tried a little bit around but i must confess i dont ever reach the alert dialog the button disableproperty is with this pr now completly and correctly """"bound"""" to the validation status and im unable to click the button so huh?also i agree to the button-disabled-metaphor || so simply remove the dialog and all is done || disabled button should work except for when the dialog is opened at first the checks only come into place when one has entered data in the mandatory fields we need to trigger the validation after initialization to change this || can we track the additional changes in a follow up issue? id rather limit this pr to the fixes  if possible"" || # [codecov]( report> merging 6121]( into [master]( will **decrease** coverage by `<01%`> the diff coverage is `0%`[![impacted file tree graph](             coverage diff              @@##             master    #6121      +/-   ##- coverage     4155%   4154%   -001%     - complexity     6878     6879       +1       files          1090     1090                lines         46233    46233                branches       5557     5557              - hits          19211    19208       -3     - misses        25575    25577       +2     - partials       1447     1448       +1```| [impacted files]( | coverage δ | complexity δ | ||---|---|---|---|| [java/org/jabref/gui/groups/groupnodeviewmodeljava]( | `6168% <0%> (ø)` | `23 <0> (ø)` | :arrow_down: || [jabref/logic/shared/event/connectionlosteventjava]( | `0% <0%> (-75%)` | `0% <0%> (-1%)` | || [bref/logic/remote/server/remotelistenerserverjava]( | `7096% <0%> (-646%)` | `7% <0%> (ø)` | || [a/org/jabref/logic/shared/postgresqlprocessorjava]( | `7959% <0%> (-409%)` | `10% <0%> (ø)` | || [java/org/jabref/logic/shared/dbmssynchronizerjava]( | `707% <0%> (-192%)` | `39% <0%> (-2%)` | || [in/java/org/jabref/logic/shared/dbmsprocessorjava]( | `8248% <0%> (-17%)` | `46% <0%> (ø)` | || [ef/logic/importer/fetcher/abstractisbnfetcherjava]( | `100% <0%> (+1111%)` | `5% <0%> (+1%)` | :arrow_up: || [org/jabref/logic/importer/fetcher/isbnfetcherjava]( | `8947% <0%> (+3684%)` | `8% <0%> (+1%)` | :arrow_up: || [/logic/importer/fetcher/isbnviaebookdefetcherjava]( | `100% <0%> (+4166%)` | `5% <0%> (+2%)` | :arrow_up: |------[continue to review full report at codecov]( **legend** - [click here to learn more]( `δ  absolute <relative> (impact)` `ø  not affected` `?  missing data`> powered by [codecov]( last update [8dd7444c29db2e]( read the [comment docs]( || i doubt this works  || > i doubt this worksit does at least starting from `gradle run` what are your doubts? || please test also with `/gradlew jlink` it will build the image locally and you can start the batit makes a huge difference if it is packaged together or executed from gradle  || > please test also with `/gradlew jlink` it will build the image locally and you can start the bat> it makes a huge difference if it is packaged together or executed from gradleworks for me /started via jabrefbat) i can set the group icon any other side effects i need to check? || if this works then other cases should also work have you tested saving your bib file with groups and icon and closing and reopening that bib file then?if this works as well it will be good to go || > if this works then other cases should also work> have you tested saving your bib file with groups and icon and closing and reopening that bib file then?> if this works as well it will be good to gosaving and reopening worked || agreed || please also add a changelog || # [codecov]( report> merging 6121]( into [master]( will **decrease** coverage by `<01%`> the diff coverage is `0%`[![impacted file tree graph](             coverage diff              @@##             master    #6121      +/-   ##- coverage     4155%   4154%   -001%     - complexity     6878     6879       +1       files          1090     1090                lines         46233    46233                branches       5557     5557              - hits          19211    19208       -3     - misses        25575    25577       +2     - partials       1447     1448       +1```| [impacted files]( | coverage δ | complexity δ | ||---|---|---|---|| [java/org/jabref/gui/groups/groupnodeviewmodeljava]( | `6168% <0%> (ø)` | `23 <0> (ø)` | :arrow_down: || [jabref/logic/shared/event/connectionlosteventjava]( | `0% <0%> (-75%)` | `0% <0%> (-1%)` | || [bref/logic/remote/server/remotelistenerserverjava]( | `7096% <0%> (-646%)` | `7% <0%> (ø)` | || [a/org/jabref/logic/shared/postgresqlprocessorjava]( | `7959% <0%> (-409%)` | `10% <0%> (ø)` | || [java/org/jabref/logic/shared/dbmssynchronizerjava]( | `707% <0%> (-192%)` | `39% <0%> (-2%)` | || [in/java/org/jabref/logic/shared/dbmsprocessorjava]( | `8248% <0%> (-17%)` | `46% <0%> (ø)` | || [ef/logic/importer/fetcher/abstractisbnfetcherjava]( | `100% <0%> (+1111%)` | `5% <0%> (+1%)` | :arrow_up: || [org/jabref/logic/importer/fetcher/isbnfetcherjava]( | `8947% <0%> (+3684%)` | `8% <0%> (+1%)` | :arrow_up: || [/logic/importer/fetcher/isbnviaebookdefetcherjava]( | `100% <0%> (+4166%)` | `5% <0%> (+2%)` | :arrow_up: |------[continue to review full report at codecov]( **legend** - [click here to learn more]( `δ  absolute <relative> (impact)` `ø  not affected` `?  missing data`> powered by [codecov]( last update [8dd7444c29db2e]( read the [comment docs]( || i doubt this works  || > i doubt this worksit does at least starting from `gradle run` what are your doubts? || please test also with `/gradlew jlink` it will build the image locally and you can start the batit makes a huge difference if it is packaged together or executed from gradle  || > please test also with `/gradlew jlink` it will build the image locally and you can start the bat> it makes a huge difference if it is packaged together or executed from gradleworks for me /started via jabrefbat) i can set the group icon any other side effects i need to check? || if this works then other cases should also work have you tested saving your bib file with groups and icon and closing and reopening that bib file then?if this works as well it will be good to go || > if this works then other cases should also work> have you tested saving your bib file with groups and icon and closing and reopening that bib file then?> if this works as well it will be good to gosaving and reopening worked || agreed || please also add a changelog"
Timucin Merdin,,,
Alexander Girgis,allow basic markup syntax custom previews,"add markdownformatter using  to format markdownto configure markdown in custom previews add the ""markdown"" formattermarkdown is enabled by default for the comment field as requested in  #6194 (  change in changelogmd described (if applicable)-  -  -   ()-  [](   <https://githubcom/jabref/user-documentation/issues>",|| needed to merge `master` to sync the pr with your state @alexandergirgis refs  you fix checkstyle?
Mootez Saad, fix export to clipboard dialog icon fix various dark theme issues disable the generate button if the id field is empty fix underscore character being omitted from file name in recent libraries list, 6286 (  change in changelogmd described (if applicable)-  -  -   (for ui changes)-  [](  if not created an issue at < or even better submitted a pull request to the documentation repository related issues: #5522  #5699 -  dragndrop text(  dialogs![image]( issue is that i dont find the dialogs graphics (eg the confirmation image) adequate so maybe create custom ones for the dark theme (or remove them)?-  scroll panethe scroll pane is quite visible (at least on my side) so i dont know if that issue has been considered as resolved or not?![image](  change in changelogmd described (if applicable)-  -  -   (for ui changes)-  [](  if not created an issue at < or even better submitted a pull request to the documentation repository 6370 -  change in changelogmd described (if applicable)-  -  -   (for ui changes)-  [](  if not created an issue at < or even better submitted a pull request to the documentation repository fixes: #6383 (  change in changelogmd described (if applicable)-  -  -   (for ui changes)-  [](  if not created an issue at < or even better submitted a pull request to the documentation repository, || could you please also add a changelog entry?  || entry added || changes regarding the scroll bar:( hover:![image]( || perfect thank you again! || thanks looks good to me!ps: if you write `12345`  in the body (fixes followed by issue nunber without the code tags) github will close the issue automatically on merge || thanks again for your contribution! || perfect thanks for the quick follow-up!
Linus Dietz,,,
Graeme Stewart,,,
Houssem Nasri,,,
Vincent Gagnon,,,
