NLP_x,APM_x,Network_x,DB_x,Interpreter_x,Logging_x,Lang_x,Data Structure_x,DevOps_x,i18n_x,Setup_x,Microservices_x,Test_x,Search_x,IO_x,UI_x,Parser_x,Security_x,Cloud_x,App_x,Author,prNumber,NLP_y,APM_y,Network_y,DB_y,Interpreter_y,Logging_y,Lang_y,Data Structure_y,DevOps_y,i18n_y,Setup_y,Microservices_y,Test_y,Search_y,IO_y,UI_y,Parser_y,Security_y,Cloud_y,App_y,Title,Body,Comments
0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Admir Obralija, 487 2014,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1, PdfXmpImporterTest added Add restoration functionality for shared database, nan Related to https://github.com/JabRef/jabref/issues/1703:  > Session restore: JabRef should open all  [shared]  tabs after startup.  -> Decision: Open from last connection. - [x] Internal quality assurance - [x] Change in CHANGELOG.md described - [x] Manually tested changed features in running JabRef - [x] Check documentation status (Issue created for outdated help page at [help.jabref.org](https://github.com/JabRef/help.jabref.org/issues)?),
0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,Rob Platt, 7292,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0, Fixed exception about missing custom css file, Fixes #7177  Java Exception when trying to open the preferences with missing custom theme   After some testing I found that there two main paths that could result in the same failure: the CSS file being missing before application start  and changing the name of the CSS file while the application is running. To resolve the latter  I think the best approach is to check the custom CSS file exists.  This is already done for the Theme as used for most of the application  however the Preview Viewer has it s own CSS URL logic.  Rather than add file checking logic to the Preview Viewer  I have refactored and moved the theme logic of Preview Viewer into Theme  so that all CSS URL logic is encapsulated in that class. I have also put the logic that checks that the URL is valid and filters it to an Optional.empty() into one new method  additionalCssToLoad()  in place of the field of the same name. This ensure that the file existence check is performed in all cases  rather than just at construction of the Theme object.  I have kept the Optional<URL> field so there should be no overhead to this approach for the built in themes  and only the minor and necessary overhead of file existence checking for the custom theme.  For manual testing I checked:  - previews and overall appearance for default theme are correct  after restart - previews and overall appearance for dark theme are correct  after restart - previews and overall appearance with a custom theme with a valid name are correct  after restart - live changes to the custom theme still work  in general and for preview - rename custom theme so that the configured theme is no longer correct  **before application start**. The preview is no longer themed but there is no error. - the preview theme is restored when the filename is restored to the configured value  without restarting the application - Restart. Rename custom theme so that the configured theme is no longer correct  **while application is running**. The preview remains themed (typically sized CSS themes are data URL embedded and so survive file removal).  These tests were run both with the Gradle run task  and on the built binary (rationale: gradle presents the dark theme as a file  while the binary has it built in on a jrt: URL  so the results could be different).  PR tasks:  - [X] Change in CHANGELOG.md described (if applicable) - [X] Tests created for changes (if applicable) - [X] Manually tested changed features in running JabRef (always required) - [X] ~~Screenshots added in PR description (for UI changes)~~ (N/A) - [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,Stefan Kolb, 187 5975 5976 5977 5979 828 858 933 4074 1774 2371 5987 5989 5992 5993 5974 6110 6111 6112 6114 6121 6123 6126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, [WIP] Fix linebreaking Dividers Help menu Move journal abbreviations to library Rework tools menu MimeTypeDetector Improvements Tab for remaining fields Test for encrypted PDF does not throw an Exception Mac graphics Fix #1771 Show all supported import types as default file filter Reenable more tests Move generate BibTeX keys to Edit menu New menu  Lookup Cleanup build file Shutdown should be fixed since v2.1.2 Group remote database actions in menu Groups: Searching for keywords field mandatory value not checked Really create new lookup menu ux: move group filter bar to top fix: exception when opening already opened files Icons from Material design icons not recognized Fulltext file deleted when being renamed to the name differing just b… Minor fetcher improvements, Evaluating the usage and problems of #114. What is FieldContentParser really doing? What is JabRef style formatting? ![image](https://user-images.githubusercontent.com/2141507/74989401-85f09c80-5440-11ea-9216-789b82884492.png)  - remove divider below special fields - add divider before specials fields  https://github.com/koppor/jabref/issues/401 Previous: ![image](https://user-images.githubusercontent.com/2141507/74990987-0a451e80-5445-11ea-9aa1-6c71aa558b98.png)  1. Move  Fork me on GitHub  above the separator 2. Rename it to  GitHub  3. Add web site icon before  Website  4. Move  Donate to JabRef  below  Online help forum  to make it more prominent  Now: ![image](https://user-images.githubusercontent.com/2141507/74990962-fd282f80-5444-11ea-93ff-837fd0fcbea7.png)   Closes https://github.com/koppor/jabref/issues/397 Previously: ![image](https://user-images.githubusercontent.com/2141507/74991650-c9e6a000-5446-11ea-81ec-a59bab324a17.png)  Now: ![image](https://user-images.githubusercontent.com/2141507/75385808-c5a40200-58e0-11ea-92ac-626b470db45d.png)   Closes https://github.com/koppor/jabref/issues/398 Formerly: ![image](https://user-images.githubusercontent.com/2141507/74993803-7bd49b00-544c-11ea-8935-f128511017ad.png)   - 1st entry: alles klein + ... ( Search for citations in LaTeX files... ). ... because it opens a dialog  - XMP metadata (spelling)  - Move  Find and replace  to  Edit  (consistency to other tools)  - Add divider  Closes https://github.com/koppor/jabref/issues/399 See #824. - added a http stubbing library - added a redirection test - added a mime type variation test - changed detection implementation to HTTPUrlConnection  Looks like it works... See #454. I don t know if this sufficies the requirements  but for me it does not throw the strange exception. Resolves #4070   @LinusDietz @halirutan  Can you also take a look as you own a mac  please 😄 Little bit tricky to get this done. Would have preferred a cleaner option but I still need access to some JFileChooser methods... - [x] Corrections of wrong Bibtex serializations: I inverted the tests for the file field so they test if the fields are not changed for \n and \t. - [x] Edge case behavior: Not implemented right now and won t be as @lenhard says. Removed for now until implemented. - [x] Author parsing The result is:  Expected :Other  A. N.  Actual   :Other  Jr.  A. N.  We decided that this is expected behavior for now. - [x] Layouter test: logic is just not handling  \n\n  to  <br>  conversion. Cannot be handled anymore as the BibTeX parser strips duplicated whitespaces by default! - [x] XMP test: Fixed - [x] OO test: Fixed - [x] Ignored GUI tests: Will stay ignored for now. Previously: ![image](https://user-images.githubusercontent.com/2141507/75071625-058c7300-54f6-11ea-8e43-bbb75d1c48a6.png)  Now: ![image](https://user-images.githubusercontent.com/2141507/75071733-497f7800-54f6-11ea-9cc3-979b0d53d03b.png)  Assumption: Generate BibTeX keys is a replace action or at least closely related.  Closes https://github.com/koppor/jabref/issues/403 Lookup  is a core feature of JabRef and should be made more prominent.  Tools  is away from library/bibtex context --> external  integration  ...  Content:  Search identifiers online Search fulltext unlinked lokal files Automatically set file links  Previously: ![image](https://user-images.githubusercontent.com/2141507/75073072-02df4d00-54f9-11ea-942c-0f3704fe62d8.png)  Now: ![image](https://user-images.githubusercontent.com/2141507/75073612-19d26f00-54fa-11ea-87ab-dfa1f468e04c.png)   Closes https://github.com/koppor/jabref/issues/404 Several cleanups  see separate commit messages. @tobiasdiez Can you confirm that this is fixed and the code no longer needed?  See https://github.com/Microsoft/ApplicationInsights-Java/issues/662 ![image](https://user-images.githubusercontent.com/2141507/75386107-61ce0900-58e1-11ea-8a6c-85275549b4cd.png)   Closes https://github.com/koppor/jabref/issues/396 Closes #6108  Closes #6066   - [x] Alert dialog triggered ![image](https://user-images.githubusercontent.com/2141507/76635849-5ec15280-6548-11ea-93d6-87187f759a17.png)  - [x] Active Info icons: ![image](https://user-images.githubusercontent.com/2141507/76633553-33893400-6545-11ea-8bc9-28e7a6b3ce38.png)  - [x] Inactive info icons ![image](https://user-images.githubusercontent.com/2141507/76633606-456ad700-6545-11ea-81fc-87f429984a87.png)  - [x] Dialog should not close when error dialog is discarded! @calixtus Not sure if we have this problem in more dialogs. The  setResultConverter  method will always close the dialog. We want to go abck to the dialog if errors are displayed as alert dialogs   however. We need to use  addEventFilter  for this I guess (am no expert in JavaFX @tobiasdiez) See Dialog validation section at https://docs.oracle.com/javase/8/javafx/api/javafx/scene/control/Dialog.html See #5989 koppor#404 Rationale: - larger search box as more text might be entered - action buttons should be right we guess (yes it might look like a search button now but also before. we need another place/solution for the new group button then)  **Overall  we think the changes improve the visibility and usability.**  Old:  ![grafik](https://user-images.githubusercontent.com/1366654/76656052-123d3d80-656f-11ea-8c37-e418e4bcd26f.png)  New: ![image](https://user-images.githubusercontent.com/2141507/76657388-0901a000-6572-11ea-97da-eb6f2190a24a.png) This (really) fixes https://github.com/JabRef/jabref/issues/5939  Refs https://github.com/JabRef/jabref/pull/5940 Fixes #6078 Related #5245  @JabRef/developers  2b760cddf53cceae54fd149774226461f5290daa caused this issue. https://github.com/JabRef/jabref/issues/5245 Obviously only icons contained inside JabRefIcons are available now.  The question is - do we really want this feature? Not sure if changing the line back to              return Enums.getIfPresent(MaterialDesignIcon.class  iconCode.toUpperCase(Locale.ENGLISH))                     .toJavaUtil()                     .map(icon -> new InternalMaterialDesignIcon(getColor()  icon))       will reintroduce the referenced issue (https://github.com/JabRef/jabref/issues/5245). This feature also only makes sense  if we have a dropdown with all available icons inside the new/edit group dialog IMHO.  ![image](https://user-images.githubusercontent.com/2141507/76682572-845c6380-65fd-11ea-9384-8b105d66bd76.png) …y letter case  Fixes #6120 Detect Google captcha div. Follow up PRs might show or give more info to the user.," || i think the name `bibtexkey` is misleading as i would think of it as the key of a bibtex entry i would suggest to use `bibtexfield` instead  || you break functionality here when a file path contains multiple whitespaces    "" || i would rather use the importfilefilter and there add a new constructor overload which accepts a list of import formats eg just moving the stream stuff in the importfilefilter because it internally uses already the would make it here much cleaner and in the dlg class you just call setfilefilter(importff) maybe in future we can recycle that for the export formats too || isnt this redundant`? if the path is giving an optionalempty and you check with ifpresent then you already checked if the file/path exists  || i checked if there is a path inside the optional but not if the file exists however this will probably never happen as long as the file is not removed between the selection and the import was a artifact from the old code i was also thinking about || hm i dont really get the idea with this text adds way more complexity in my opinion i need a new import format then and matching fileextensions etc pp?! || well the importfilefilter is an custom already exiting filefilter which maps the extension to the import formatit internally calls the accept method of the method of an externalfilefilter see #1775 which you already merged inif you stay with your solution then you could remove it completely || why did you remove the preference? it is a really nice feature to preselect the last used filefilter for exporting/importing  || because all supported filters are now default so you can definitely see possible files if the importer has problems with auto recognition one can select the import format by hand (although this should not happen) just wanted to remove complexity here maybe its still needed - we have to discuss this  || yeah you are right forgot that new feature then its ok to be removed2016-08-19 11:58 gmt+02:00 stefan kolb notifications@githubcom:> in src/main/java/net/sf/jabref/preferences/jabrefpreferencesjava>  > > @@ -3037 +3036 @@> >      public static final string show_file_links_upgrade_warning  """"showfilelinksupgradewarning""""> >      public static final string side_pane_width  """"sidepanewidth""""> >      public static final string last_used_export  """"lastusedexport""""> > -    public static final string last_used_import  """"lastusedimport""""> > because all supported filters are now default so you can definitely see> possible files if the importer has problems with auto recognition one can> select the import format by hand (although this should not happen) just> wanted to remove complexity here maybe its still needed - we have to> discuss this> > —> you are receiving this because you were mentioned> reply to this email directly view it on github>  or mute the thread>   || i know that but i need 2 new objects for getting that to work a fileextension enum with all import endings and a new import format class for all import files?! this is a little bit complex to implement as the number of import formats can change or am i on the wrong track here? || not sure if i get the point of your discussion but in general i support the idea that filedialog should support a way to set the extensions and file filter based on import formats (because this should happen quite often)what about adding a `static filedialog createdialogforimport(frame workingdir collection<importformat>)` which contains most of the initialization code here || @stefan-kolb  you are thinking a bit too complex )we already have those two thing in the importformat classthe importformat  has a method getextensions wich returns the asscoatiacted enum value from the fileextensions class  currently in the importfilefilter we have support for exaclty one importformat  || a ok so youre thinking about `public importfilefilter(string name list<importformat> formats)` im still note quite sure if we really need the `importfilefilter` internally all it really does is `new filenameextensionfilter(extensionsgetdescription() extensionsgetextensions())` and then overriding all methods introducing potential problems as in #1775 || but ok lets try this maybe we can reuse this then somehow || @siedlerchr moved the logic into the importfilefilter class || yeah that looks better keeps the dialog more clear :+1: i have no further remarks you can merge it  || yeah that can always happen regardless of files or noti think in the dialog itself is already checked if the file/path exists  || maybe use the nio equivalent? filesexist(path) or whatever the name of the method was""    "
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Timucin Merdin, 6872 7025 7421 7494,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1, Add multi-sentence title formatting to sentence case and title case add Cleanup for copying over physcial review article id as the page n… add selection copy to preview window Simplify biblatex entry type form, Fixes https://github.com/JabRef/jabref/issues/6759  Added support for multiple-sentence title formatting for the  Sentence Case  and  Title Case  options by using a regular expression to first split the input into sentences  and afterwards processing those sentences individually. A RegEx might not be the best choice for natural language processing but since most titles are only 1 sentence long  the proposed RegEx should cover the vast majority of cases. Also added additional test cases for Sentence Case and Title Case formatting. The old tests are assuming one sentence titles but are still applicable.  - [ ] Change in CHANGELOG.md described (if applicable) - [x] Tests created for changes (if applicable) - [x] Manually tested changed features in running JabRef (always required) - [ ] Screenshots added in PR description (for UI changes) - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository. Fixes #7019   Added a cleanup to copy over the article id as the page number for APS journals. This only happens if the page number doesn t exist already.  <!--  Describe the changes you have made here: what  why  ...  Link issues that are fixed  e.g.  Fixes #333 . If you fixed a koppor issue  link it  e.g.  Fixes https://github.com/koppor/jabref/issues/47 . The title of the PR must not reference an issue  because GitHub does not support autolinking there. -->   <!--  - Go through the list below. If a task has been completed  mark it done by using  [x] . - Please don t remove any items  just leave them unchecked if they are not applicable. -->  - [ ] Change in CHANGELOG.md described (if applicable) - [ ] Tests created for changes (if applicable) - [x] Manually tested changed features in running JabRef (always required) - [ ] Screenshots added in PR description (for UI changes) - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository. Fixes #6962  Added a feature that allows users to copy highlighted text in the preview window  Screenshot:  ![100c67ff4e73c1cb3ea8e4385da41cdd](https://user-images.githubusercontent.com/47194464/106947983-7179e280-672b-11eb-8a7c-4eef008ab992.png)   - [x] Change in CHANGELOG.md described (if applicable) - [ ] Tests created for changes (if applicable) - [x] Manually tested changed features in running JabRef (always required) - [x] Screenshots added in PR description (for UI changes) - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository. Fixes #6730  Related PR: #7485  This is a follow-up PR that simplifies the select entry type form in biblatex mode.  Screenshots: ![entryFormNonExpand](https://user-images.githubusercontent.com/47194464/110112312-dc155100-7db1-11eb-9d94-2e4d1f9fff2e.png)  Expanded: ![entryFormExpand](https://user-images.githubusercontent.com/47194464/110112332-e46d8c00-7db1-11eb-8d98-179114e1ec1f.png)   - [x] Change in  CHANGELOG.md  described in a way that is understandable for the average user (if applicable) - [ ] Tests created for changes (if applicable) - [x] Manually tested changed features in running JabRef (always required) - [x] Screenshots added in PR description (for UI changes) - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Alexander Girgis, 6232,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1, Allow basic markup syntax custom previews, Add MarkdownFormatter using https://github.com/vsch/flexmark-java/ to format markdown. To configure Markdown in custom previews add the  Markdown  formatter. Markdown is enabled by default for the comment field as requested in https://github.com/JabRef/jabref/issues/6194  Fixes #6194   ![image](https://user-images.githubusercontent.com/11259344/78190391-35735280-7474-11ea-9f40-7a2191d082d4.png)  - [x] Change in CHANGELOG.md described (if applicable) - [x] Tests created for changes (if applicable) - [x] Manually tested changed features in running JabRef (always required) - [x] Screenshots added in PR description (for bigger UI changes) - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not: Issue created at <https://github.com/JabRef/user-documentation/issues>.," || is `requires annotations` really necessary i remember that i had a few problems with annotations vs `jakartaannotation` in the past || is the `htmlchars` formatter still necessary or is the htmlrenderer already taking care of it? || is there a reason not to simply replace `\\format[htmlchars]{\\comment}` with `\\format[markdownhtmlchars]{\\comment}` (or `\\format[markdown]{\\comment}` see above)? if the user changed the preview style a bit then this replacement would still have the desired effect right? || its needed to be checked whether the htmlrenderer does some ""magic"" without guessing i would gess notthe htmlchars formatter does:( || youre right its not needed i was tempted to put `@notnull` annotations on parameters but removed them because it doesnt make sense to use them on one class only apparently forgot to remove the `requires` || my reasoning was to not force a different behavior on people who consciously changed their configuration so i only changed it when its the unchanged default value however this is a matter of opinion how are changes like this normally handled in jabref? || i like the proposal by @tobiasdiez it a) integrated the feature and b) focuses the update to the `comment` field"
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Mootez Saad, 6345 6368 6371 6389 6406,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1, Fix Export to clipboard Dialog icon Fix various Dark theme issues Disable the generate button if the ID field is empty Fix underscore character being omitted from file name in Recent Libraries list Restore some missing keyboard shortcuts, Fixes #6286   ![image](https://user-images.githubusercontent.com/34676841/80279600-1d9f8f00-86ff-11ea-8067-5f7cb22265e4.png)   - [ ] Change in CHANGELOG.md described (if applicable) - [ ] Tests created for changes (if applicable) - [ ] Manually tested changed features in running JabRef (always required) - [X] Screenshots added in PR description (for UI changes) - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository. Related issues: #5522   #5699   - [X] Drag n drop text  ![image](https://user-images.githubusercontent.com/34676841/80455105-72275200-892b-11ea-92d5-a8a60c088b20.png)  - [X] Dialogs ![image](https://user-images.githubusercontent.com/34676841/80455194-9f740000-892b-11ea-8beb-06059c51ee7b.png)  ![image](https://user-images.githubusercontent.com/34676841/80455257-b6b2ed80-892b-11ea-843c-a1caa061e781.png)  ![image](https://user-images.githubusercontent.com/34676841/80455353-dcd88d80-892b-11ea-95b6-513272c9530e.png)  The issue is that I don t find the dialogs graphics (e.g. the confirmation image) adequate  so maybe create custom ones for the dark theme (or remove them)?  - [X] Scroll pane The scroll pane is quite visible (at least on my side) so I don t know if that issue has been considered as resolved or not?  ![image](https://user-images.githubusercontent.com/34676841/80455595-596b6c00-892c-11ea-8280-945f800426b8.png)   - [ ] Change in CHANGELOG.md described (if applicable) - [ ] Tests created for changes (if applicable) - [ ] Manually tested changed features in running JabRef (always required) - [X] Screenshots added in PR description (for UI changes) - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository. Fixes #6370  - [ ] Change in CHANGELOG.md described (if applicable) - [ ] Tests created for changes (if applicable) - [ ] Manually tested changed features in running JabRef (always required) - [ ] Screenshots added in PR description (for UI changes) - [X] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository. Fixes: #6383   ![image](https://user-images.githubusercontent.com/34676841/80824286-6b743580-8bde-11ea-8555-20569278d326.png)   - [X] Change in CHANGELOG.md described (if applicable) - [ ] Tests created for changes (if applicable) - [ ] Manually tested changed features in running JabRef (always required) - [X] Screenshots added in PR description (for UI changes) - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository. Fixes #6403   - [X] Change in CHANGELOG.md described (if applicable) - [ ] Tests created for changes (if applicable) - [ ] Manually tested changed features in running JabRef (always required) - [ ] Screenshots added in PR description (for UI changes) - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,  || we are trying to remove the `globals` class (in the long term) to facilitate this could you please extract the `themeloader` and `preferences` and initialize them by passing the global objects as dependencies through the constructor (ie move `globals` from this class to the caller) || does it work if you move this line inside the createdialog? then you could reduce some code duplication || yes! didnt really pay attention || i have refactored the code but i m not sure if ive done it correctly || this can be replaced by `stringutil:isnotblank` || done || could you please add a short comment explaining why mnemonic parsing is disabled for files so that our future us doesnt remove it in a few months because the original reason for its introduction has been forgotten || done
0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,Linus Dietz, 6419 3082 6139,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1, Fix pasting on mac and linux JavaFX FileAnnotationTab Move Springer key to environment, PR #6313 caused the double pasting issue on MacOS (see #4699)  After the first paste   the Edit Action focusOwner did somehow trigger on Mac and this resulted in executing paste twice.  Fixes #4699. I have created an initial port of the FileAnnotationTab. It is not done yet  as I am not so proficient in GUI programming. Fixes https://github.com/JabRef/jabref/issues/2922 Fixes https://github.com/JabRef/jabref/issues/3059  - [x] Test if multiple linked files are working - [x] Add Reload Annotations button - [x] Add Copy To Clipboard button - [x] Check if this PR fixes  https://github.com/JabRef/jabref/issues/3059 - [x] Remove unused variables - [x] Is it possible to get a nicer binding? At the moment we have 5 StringProperties instead of one ObjectProperty<FileAnnotation> - [x] fix NPE when clicking Copy annotations  if there are no annotations - [x] Fix reload annotaitons button - [x] Add FileAnnotationsTab when adding a file (Without reopening the Entry Editor) - [x] Fix design glitches (first line of right side) - [ ] Fix annotation auto-selection when switching between linked files Based on the discussion of today s devcall.  Won t work with self-compiled JabRef.,
0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,Graeme Stewart, 6635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, Change  duplicates  window to recall size/position, The  Possible duplicate entries  window now remembers its size and position throughout a session ([#6582](https://github.com/JabRef/jabref/issues/6582)). This was done by adding a DialogWindowState class to the gui utils. This class stores the size and position of the dialog window. The StateManager class was modified to store this object. It is retrieved whenever a new DuplicateResolverDialog object is created to get the previous size and position and is updated whenever the user proceeds through the dialog options. The DialogWindowState class can be re-used if this feature is needed for other dialog windows.  This is my first ever pull request so please let me know what you think or whether I need to re-tool my approach to be more in line with the structure of the rest of the code! I did not include any screenshots as this felt like a sort of awkward fix to try and take screenshots of.  - [x] Change in CHANGELOG.md described (if applicable) - [ ] Tests created for changes (if applicable) - [x] Manually tested changed features in running JabRef (always required) - [ ] Screenshots added in PR description (for UI changes) - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,Houssem Nasri, 7119,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0, Improve library loading UX, When JabRef opens a library  it opens a file  runs the database parser  and after everything is done  creates a new tab in the frame with the contents of the open database.  An improvement would be to first create a tab in the frame  display a loading animation  and after the parser has finished  display all entries (or display every entry as soon as it is parsed).  there is a bug that I couldn t fix  even after data is loaded the group pane will keep showing 0 entry  you need to navigate away from the tab and back to get the real number of entries  about applying the improvement on startup  I think having a splash screen will look better something like a blocking dialog that displays a ProgressIndicator  Closes #6417 ![im1](https://imgur.com/fAyMdUX.jpg) ![im2](https://imgur.com/FvDHIwM.jpg) ![im3](https://imgur.com/7juc16x.jpg) ![im4](https://imgur.com/8NLHA2q.jpg) - [ ] Change in CHANGELOG.md described (if applicable) - [ ] Tests created for changes (if applicable) - [x] Manually tested changed features in running JabRef (always required) - [x] Screenshots added in PR description (for UI changes) - [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Vincent Gagnon, 6693 6760,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0, fixed issue 6692 Fix HTML chars formatter for percent sign, Fixes #6692  renamed listBind to bindContent where it was used Fixes #6753   - [x] Change in CHANGELOG.md described (if applicable) - [x] Tests created for changes (if applicable) - [X] Manually tested changed features in running JabRef (always required) - [ ] Screenshots added in PR description (for UI changes) - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
