Util_x,Network_x,Interpreter_x,Error Handling_x,Lang_x,i18n_x,Setup_x,Logic_x,IO_x,Security_x,Event Handling_x,App_x,Author,prNumber,Util_y,Network_y,Interpreter_y,Error Handling_y,Lang_y,i18n_y,Setup_y,Logic_y,IO_y,Security_y,Event Handling_y,App_y,Title,Body,Comments
1,0,0,1,0,1,0,1,0,0,1,1,Tokuhiro Matsuno, 1810 1813 571,1,1,0,1,0,1,0,1,1,0,0,1, Revert  Fixes #1587 : Remove unnecessary loop from InjectingAnnotationEngine Fixes #1771: Upgrade byte-buddy to 1.10.2 (from 1.9.10) Pretty print primitive and wrappers types in Maps, Reverts mockito/mockito#1588 Related to #1631   Here s a pseudo code to describe the issues around this issue.  # Before 2.23.15:	      while (clazz != Object.clazz) { 	val mocks = aggregateSpyOrMockFields(clazz.getMockFields())    val fields = aggregateInjectMocksFields(clazz)  	val ret = tryConstructorInjection(clazz  fields  mock)    if (! ret.fieldWasInitializedUsingConstructorInjection()) {     trySetterOrPropertyInjection(clazz  fields  mock)    } 	clazz = clazz.getSuperclass()  }     # After 2.23.15:     	val mocks = aggregateSpyOrMockFields(clazz.getMockFields())    val fields = aggregateInjectMocksFields(clazz)  	val ret = tryConstructorInjection(clazz  fields  mock)    if (! ret.fieldWasInitializedUsingConstructorInjection()) {     trySetterOrPropertyInjection(clazz  fields  mock)    }      # Details  Before 2.23.15  if the  @InjectMocks  field has a field that not listed in the constructor argument will fill by setter/property injection at the 2nd loop 😃 It may not the expected behaviors by Mockito authors  but some users  code depends on this behavior.  My suggestion is to revert the [Fixes #1587 : Remove unnecessary loop from InjectingAnnotationEngine by LihMeh · Pull Request #1588 · mockito/mockito · GitHub](https://github.com/mockito/mockito/pull/1588) at this time. Release notes: https://github.com/raphw/byte-buddy/releases/tag/byte-buddy-1.10.2 https://github.com/raphw/byte-buddy/releases/tag/byte-buddy-1.10.1 https://github.com/raphw/byte-buddy/releases/tag/byte-buddy-1.10.0 https://github.com/raphw/byte-buddy/releases/tag/byte-buddy-1.9.16 https://github.com/raphw/byte-buddy/releases/tag/byte-buddy-1.9.15 https://github.com/raphw/byte-buddy/releases/tag/byte-buddy-1.9.14 https://github.com/raphw/byte-buddy/releases/tag/byte-buddy-1.9.13 https://github.com/raphw/byte-buddy/releases/tag/byte-buddy-1.9.12 https://github.com/raphw/byte-buddy/releases/tag/byte-buddy-1.9.11  Relevant commits: raphw/byte-buddy@byte-buddy-1.9.10...byte-buddy-1.10.2 check list - [x] PR should be motivated  i.e. what does it fix  why  and if relevant how - [x] If possible / relevant include an example in the description  that could help all readers      including project members to get a better picture of the change - [x] Avoid other runtime dependencies - [x] Meaningful commit history   intention is important please rebase your commit history so that each      commit is meaningful and help the people that will explore a change in 2 years - [x] Read the [contributing guide](https://github.com/mockito/mockito/blob/master/.github/CONTRIBUTING.md) - [x] Mention  Fixes #<issue number>  in the description _if relevant_ - [x] At least one commit should mention  Fixes #<issue number>  _if relevant_  In following case  user can t understand the difference between expected and actual.  Code:      @Test public void foo() {     Foo m = mock(Foo.class)      m.foo(new HashMap<String  Object>(){{         put( hoge   4)      }})      verify(m).foo(new HashMap<String  Object>(){{         put( hoge   4L)      }})  }  public static class Foo {     void foo(Map<String  Object> map) {     } }      Output:      Argument(s) are different! Wanted: foo.foo(() {hoge=4})  -> at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) Actual invocation has different arguments: foo.foo(() {hoge=4})  -> at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)      If mockito outputs the  L  suffix for long values  user can understand the difference easily.  After this commit  the output will be following:      Argument(s) are different! Wanted: foo.foo({ hoge =4L})  -> at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) Actual invocation has different arguments: foo.foo({ hoge =4})  -> at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)      This will fix #570,
1,0,0,1,0,1,0,1,1,0,0,1,Fr Jeremy Krieg, 1644 1667 1723,1,1,0,1,1,1,0,1,0,0,0,1, VerificationCollector to handle non-matching args and other assertions Improved IDE experience for JUnit5 - visual comparison failure Change implementation of ExceptionFactory to explicitly test for dependent classes, This fix for #1642 widens the catch in  VerificationCollectorImpl  so that it will catch any  AssertionError   rather than just  MockitoAssertionError . In this way  any comparison failures (such as the built-in argument comparison when running under JUnit) will also be collected rather than propagating through to the test framework.  There are also two commits which are more cosmetic improvements to  VerificationCollectorImplTest :  * Rename  assertAtLeastOneFailure()  to  assertExactlyOneFailure()  (more accurate description of what it does). * Change  Assert.fail()  to AssertJ s  assertBecauseExceptionWasNotThrown()  (produces better diagnostics in the case of a failure). When JUnit5+Mockito is used in modern IDE (IDEA  Eclipse) we now show  visual  comparison failure pop-up for certain Mockito exceptions (such as ArgumentsAreDifferent).  Fixes #1663. The original implementation of conditional OpenTest4J support (#1667) relied on some implicit behaviour of the Java classloader to generate and catch the exception at the right time. It seems that this behaviour is not always exactly replicated in all environments - for example  in #1716  where Mockito was being used in an instrumentation test that was being run on an Android emulator.  The new implementation is a bit more direct in how it tests for the dependent classes. The existing test cases still pass  and @matejdro confirmed that this fixed his problem.  Fixes #1716.,
1,0,0,1,0,0,0,1,0,0,0,1,Michael Schieder, 2236,1,0,0,1,0,0,0,1,0,0,0,1, Bugfix/2235 verify on a wrapped mock fails, PR for #2235: verify() on a wrapped mock fails with UnfinishedVerificationException,
1,0,0,1,0,0,1,1,0,0,1,1,Slawomir Jaranowski, 2140,1,1,0,1,0,1,1,1,0,0,1,1, Endorsed MockitoTestNGListener in the documentation, After the latest changes in MockitoTestNGListener I sure that can be used without worry.  check list   - [x] Read the [contributing guide](https://github.com/mockito/mockito/blob/release/3.x/.github/CONTRIBUTING.md)  - [x] PR should be motivated  i.e. what does it fix  why  and if relevant how  - [x] If possible / relevant include an example in the description  that could help all readers        including project members to get a better picture of the change  - [x] Avoid other runtime dependencies  - [x] Meaningful commit history   intention is important please rebase your commit history so that each        commit is meaningful and help the people that will explore a change in 2 years  - [x] The pull request follows coding style  - [ ] Mention  Fixes #<issue number>  in the description _if relevant_  - [ ] At least one commit should mention  Fixes #<issue number>  _if relevant_,
1,1,0,1,0,1,1,1,1,0,1,1,Tim van der Lippe, 1227 1228 1238 1247 1350 1565 1586 1612 1617 1635 1641 1646 1648 1680 1690 1701 1790 1807 1811 1819 1820 1832 1845 1858 1862 1878 215 286 287 288 1934 1945 389 436 444 491 492 2227 2248 2259 2277 556 557 639 2292 872 1027 1041 1219 1220,1,1,1,1,1,1,1,1,1,1,1,1, Update license plugin and add missing license headers Add @CheckReturnValue to stubbing/verification methods Backport fixes release/2.x to master Remove several container classes and inline code Support local parameters in test methods with JUnit Jupiter Prevent StackOverflowError when processing reversed generics Add some missing  @Deprecated  annotations Return null instead of causing a CCE Fix issue with mocking of java.util.* classes Fix handling of generics in ReturnsMocks Fix returns mocks for final classes Add back getArgument(int  Class) to circumvent compilation issues Prevent NPE in findTypeFromGenericInArguments Fix handling of generic Void type for doNothing() Add ErrorProne MockitoInternalUsage checker Show multiple invocations on argumentsAreDifferent Enable spotless to automatically format our source code Add default implementation for VerificationMode#description Apply consistent import ordering with spotless Deprecate MockitoHamcrest Indent with spaces using spotless Add matchers for incompatible type matchers Revert  Add Duration overloads. Fixes #1815 Add TestRule to MockitoJUnit Revert  Performance optimization by using Method.getParameterCount() where possible Revert  Fixed undetected unused stubbing when matching previous stubbed call Improves InjectMocks behavior when injectee has multiple fields of the same type Add new API method to reset invocations of a mock  while maintaining all existing stubbing Implement VerificationCollector which can collect multiple verifications. Add optional answer to support mocked Builders Use google-java-format in spotless [Travis] Replace JDK 9/10 with 14 Lazily verify without calling collector.verify() Clean up issues reported by IntelliJ Add PARAMETER ElementType to @Mock Deprecate whitebox and corresponding verboserunner and junitfailureha… Revert  Remove deprecated method Add missing Deprecated annotation Fix thread race condition But invoked here  lists the invocation parameters Apply automated ErrorProne fixes Move Mockito internal classes to internal package Replace or remove code.google.com links in documentation Update Travis configuration to also build on oraclejdk9 Fix stackoverflow in ArgumentsAreDifferent reporting Prepare Android library for publication and bump version to 2.6.0 Fix some issues reported by SonarQube Backport fixes of release/2.x to master Add regression test for issue #1174 Backport fixes from release/2.x to master, The license plugin could be updated to later versions  as we dropped JDK6 on Travis. Moreover  quite some licenses were reported missing  so I ran  ./gradlew licenseFormatMain licenseFormatTest  to add them. Introduce a new annotation  @CheckReturnValue  and add this to methods like  when  and  verify  such that static analysis can verify the value is actually used (http://errorprone.info/bugpattern/CheckReturnValue). This makes sure developers can get warnings on build-time instead of run-time (with our internal  validateState )  Fixes #1130 - Update licenses - Remove unused  buildSrc  - Remove old gradle files - Add some more tests - Fix coverage Remove several classes that were containers for code that is easier to be inlined. They were only referenced once  or never at all. This makes it easier to reason about the code  while also maintaining less code and classes.  Closes #904 Note that this implementation differs from the prototype implementation of the JUnitTeam (https://github.com/junit-team/junit5-samples/blob/7bf40178345d5ca837579c8ddb8c025401a98788/junit5-mockito-extension/src/main/java/com/example/mockito/MockitoExtension.java#L41-L73). Instead  it will do not do any parameter resolution between test methods.  Fixes #1348 When processing the reverse method  the type parameters are actually reversed compared to the type parameters in the class. This subsequently confuses GenericMetadataSupport  as it creates a cycle in  contextualActualTypeParameters . In that case A resolves to B  while B resolves to A.  The root cause is that we are processing type parameters of methods  while we already processed them in the class declaration. Therefore  ignore any type parameters if we already derived the appropriate contextual type parameter. ErrorProne caught this. We correctly had them on most of the deprecated methods  but not on all of them. This solves a large number of edge-cases where  null  will actually remove the runtime ClassCastException. This essentially negates the whole MockitoCast ErrorProne check. We can still not support every use case  but causing a NPE instead of a CCE does not seem to make this worse.  I am still running internal tests within Google to see if there are any regressions  but I already saw that some of the test failures we had with ByteBuddy were resolved with this particular patch.  Note that this now fully closes #357. A previous PR resolved the same issue with ReturnsSmartNulls: #1576.  Fixes #357 Fixes #1615  I hope the test is correct. At least it failed before and succeeds now... ReturnsMocks was exhibiting the same problems as we previously had with ReturnsSmartNulls. Extract that common behavior into a separate class and thus fix the issues with ReturnsMocks. The guard for final mocking was incorrect. It should have passed it on to MockitoCore. Since we have the InlineMockMaker  we can actually mock  so this check was incorrect. Also add  @NotExtensible  to several of our interfaces to document they are not intended to be subclassed.  Fixes #1609 There was only a single test failing on this. I think the issue was RETURNS_SMART_NULLS in combination with an ArgumentCaptor  but couldn t figure that part out. At least this fixes prevented the NPE. When the return type bound to a generic type resolved to Void   doNothing()  would still throw an exception. Update the  isVoid  implementation to also handle generic return types. This checker will warn on any usage of a Mockito internal symbol. Since we do not guarantee API stability on symbols in our internal packages  users should not rely on them. This checker can be used to enforce that they are unused. This is the reconciliation of #1556 with the tests fixed and implementation rebased on  release/2.x .  Fixes #1542 Spotless [1] has been used by various popular open source projects  including JUnit [2]. While working on Mockito inside of Google  I discovered that our formatting is inconsistent. We can use Spotless to automatically take care of that.  To be able to format the source code  run  ./gradlew spotlessApply  This check runs on Travis to make sure code remains formatted. This should also reduce the amount of trouble with the CheckStyle linter  as Spotless will automatically resolve these issues.  On purpose  the spotless configuration is quite minimal. The current configuration is mostly a reflection on the current state of affairs. We can later discuss different configuration options and how we can integrate them.  [1]: https://github.com/diffplug/spotless/tree/master/plugin-gradle [2]: https://github.com/junit-team/junit5/blob/3f491f3148d2c745808fc75b0a802b60243e104e/build.gradle.kts#L124-L144 This method was added in Mockito 2 ([1]) and was implemented in all relevant subclasses. However  most subclasses do not implement a custom description.  Since we are now building on Java 8  we can ship this as a default method and remove all duplicate subclass implementations. As a side-effect  it allows users of Mockito 1 to migrate to Mockito 3 without additional breakages. (They could implement it  but VerificationModeFactory is internal and would require additional boilerplate)  [1]: https://github.com/mockito/mockito/pull/68 Spotless allows us to enforce a consistent import order. Configure it such that static imports are first and non-static imports afterwards. Within imports  java imports first  then javax  then all others.  This is consistent with the existing CONTRIBUTING.md guidelines  apart from the fact that static imports are first. (File has been updated). I would propose that makes more sense  but happy to discuss.  In any case  spotless already found inconsistent ordering within imports themselves  so that is already providing value for consistency.  I have also updated the CONTRIBUTING guidelines to explain how  ./gradlew spotlessApply  will fix a lot of issues without the developer having to worry about it. That should hopefully help newcomers make changes more confidently.  (The only 2 files that are interesting to you are the  build.gradle  and  .github/CONTRIBUTING.md . All other file changes were automatically performed after running  ./gradlew spotlessApply  locally.) This class was used during the migration period from Mockito 1 and Mockito 2  but is no longer necessary. To be able to remove our dependency on Hamcrest  we should remove MockitoHamcrest.  In response to #1817 Discovered in #1818 that (if new contributors are unaware of our indentation with 4 spaces)  spotless did not fix the formatting.  indentWithSpaces(4)  does just that and it actually found other formatting issues. We discovered that users run into issues with using the wrong Mockito matcher for arguments. Examples include  any(Integer.class)  instead of  anyInt()  and  anyInt()  instead of  anyFloat() . Users then run into cryptic run-time errors that are difficult to understand.  These ErrorProne checkers make these a compile warning  to warn the user before hand. They also provide the appropriate fixes that can be directly applied. Reverts mockito/mockito#1818  Fixes #1843 JUnit has two types of test rules: MethodRule and TestRule. The existing MockitoJUnit rule returns a MockitoRule which extends MethodRule. However  since this is not a TestRule  some features of JUnit do not nicely integrate with Mockito. For example  the RuleChain feature of JUnit only works on TestRules.  Therefore  add a separate entrypoint to MockitoJUnit which returns a TestRule that can be integrated with RuleChain. It introduces a separate interface to make this distinction clear. If we would change the existing MockitoRule to also extend TestRule  the JUnit logic would no longer run the MethodRule [1] and would thus break existing users.  [1]: https://github.com/junit-team/junit4/blob/2df7e0882128d551565f87f688bbe745d85aacba/src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java#L402 Reverts mockito/mockito#1849  It breaks all downstream Android applications  see https://github.com/mockito/mockito/pull/1849#issuecomment-577139089 Reverts mockito/mockito#1847  Fixes #1877  Based on feedback in #1846 Fix to @InjectMocks which injected incorrectly when multiple fields of the same type could be injected into  but only supplying 1 mock. This makes sure that whenever there are multiple type candidates  it will hold off injecting if it finds a different field which has the correct matching name. Add new API method to reset invocations of a mock  while maintaining all existing stubbing.  ---  **EDIT by mockito team** : Fixes #183 It will report in the end the result of multiple statements. Fixes #124 When googling the mocking of builders  a lot of people said it was not possible with Mockito to support them in a clean way.  RETURNS_DEEPS_STUBS  does allow cascading  but can become quite fast very cumbersome. The added  RETURNS_SELF  will try to return itself by looking at the method  returnType  and compare this with the class of the mock. Google-java-format is an open source formatter [1]. It automatically formats source code based on the Google Java Style.  The Mockito source code to a very large extent already adheres to this style guide. While this PR in itself is large  many of the changes are related to string formatting and nested method calls. Most notably  google-java-format is an improvement over the current formatting strategy in that:  1. It handles comment formatting (e.g. spacing between comments) 2. It handles nested method calls. You can see the difference in our usage of the ByteBuddy API  which is now more consistent 3. It enforces the max-line length.  It essentially automates all of the styling rules we list in https://github.com/mockito/mockito/blob/release/3.x/.github/CONTRIBUTING.md#alignment As such  for new contributors it should be a lot easier (and less scary) to contribute to Mockito  as they no longer have to be concerned about formatting. Hopefully  this once again lowers the bar for external contributors who want to help the project  but would otherwise feel overwhelmed by the rules we have to adhere to. (If we wouldn t have these rules  it would be a lot harder for us to maintain a consistent and maintainable codebase).  The only interesting changes in this PR are those in  build.gradle . All other changes were auto-generated by running  ./gradlew spotlessApply .  Note that I disabled the formatting of Javadoc  as I think we should keep formatting that ourselves. We normally put a lot of time and effort in our Javadoc and changing that all at once seems like the wrong decision at this point in time.  [1]: https://github.com/google/google-java-format 9/10 are EOL since September 2018. 14 is the currently supported Java version. As originally requested in #287: lazily verify all  Mockito.verify(...)  calls inside JUnit test cases. Some general issues reported by IntelliJ. Mostly concerning modifiers and unused imports. TODO: Add a regression test to also show how this functionality can be used. CC @smoyer64  Fixes #438 A quick google showed that there are almost zero usages of this runner. Moreover it was relying on a very hackish implementation. I think we can do a better job by creating a new runner with JUnit 5 as part of #390. Therefore the intent is to deprecate these classes and remove them in Mockito 3.0.  Fixes #489 Simple git revert for an accidental removal of a deprecated api since 2.0 instead of 1.X.  Fixes #482. Discovered while trying to sync Mockito internally at Google. Discovered internally at Google. The culprit was a thread race condition around the usage of usedAt  which could race between setting the field and retrieving it. Supersedes and closes #2188 This is the result of running ErrorProne on the codebase. Most notably  it adds missing override annotations  adds private constructors for classes that should not be subclassed  removes redundant generic type specified and fixes handling of casts/instance checks. Fixes #551 Most links are replaced by their GitHub equivalent. Some links were pointing to issues on code.google.com  but given the large amount of documentation on these methods I decided to remove them.  Fixes #533 Let s see if this actually works. Testing for #520 When using Mockito without opentest4j  reporting an ArgumentsAreDifferent exception would throw a StackOverflowError when attempting to obtain the message from the exception.  The root problem was that super.toString() would call its own getMessage(). Instead  we should obtain the message from the super  to avoid the circular call. References first step of #848 Colleague students ran SonarQube on Mockito. These were some easy fixes I was able to do  no extreme value. I will open an issue regarding a different and potentially more serious issue. Yeah  we did this quite some time ago and this merge was hell. I hope I did not screw anything up. There are still 7 test failures  but I have to get dinner now. Please review this PR very carefully  to make sure I did not introduce regressions into master :sob: Regression that shows the issue of #1174. I am unable to reproduce this locally. Let s see what Travis says.  Closes #1174 Because we should do this more frequent :joy:,
1,0,0,1,0,0,0,1,0,0,0,1,Ilmir Usmanov, 2280,1,0,0,1,0,1,0,1,0,0,1,0, Support mocking of function with Kotlin inline classes, Despite functions with inline class parameters being already supported  there were not tests for it. Thus  add them.  The other part is functions  returning inline classes. There can be several kinds of inline classes - with primitive underlying type (nullable or not-null) and reference types (nullable or not-null). Also  a function can return either nullable of not-null inline class. If a function returns nullable inline class  we do not do anything special - the function s signature contains inline class. However  if the function returns not-null inline class  its signature contains underlying type  thus  we need to unbox the inline class (i.e. get underlying type s value) to mock the return value.  For example  if we have the following inline class    inline class IC(val i: Int)  and we want to mock return value of a function  returning the inline class    fun returnsIC(): IC  like     when (mock.returnsIC()).thenReturn(IC(1))  then if we do not unbox the argument of  thenReturn  function  we get error about incompatible types.  The only issue  however  is that we cannot check  whether the function indeed returns  IC   unless we use kotlin.reflect. So  the following code will work.    fun returnsInt(): Int     when (mock.returnsInt()).thenReturn(IC(1))  Fixes issue #1930  <!-- Hey   Thanks for the contribution  this is awesome. As you may have read  project members have somehow an opinionated view on what and how should be Mockito  e.g. we don t want mockito to be a feature bloat. There may be a thorough review  with feedback -> code change loop. --> <!-- Which branch :  - On mockito 3.x  make your pull request target  release/3.x  - On mockito 2.x  make your pull request target  release/2.x  (2.x is in maintenance mode) --> <!-- If you have a suggestion for this template you can fix it in the .github/PULL_REQUEST_TEMPLATE.md file --> ## Checklist   - [X] Read the [contributing guide](https://github.com/mockito/mockito/blob/release/3.x/.github/CONTRIBUTING.md)  - [X] PR should be motivated  i.e. what does it fix  why  and if relevant how  - [X] If possible / relevant include an example in the description  that could help all readers        including project members to get a better picture of the change  - [X] Avoid other runtime dependencies  - [X] Meaningful commit history   intention is important please rebase your commit history so that each        commit is meaningful and help the people that will explore a change in 2 years  - [X] The pull request follows coding style  - [X] Mention  Fixes #<issue number>  in the description _if relevant_  - [X] At least one commit should mention  Fixes #<issue number>  _if relevant_,
1,0,0,1,0,0,0,1,0,0,0,1,Emory Merryman, 47,0,0,0,0,0,1,0,0,0,0,0,0, Issue484 fix, This fixes the issue when comparing 2 identical objects which throw an exception in their equals method.,
1,1,0,1,0,0,1,1,0,0,0,1,Anuraag Agrawal, 1391,1,0,0,0,0,0,0,0,0,0,0,1, Make MockitoExtension constructor public, It is possible to register an extension for automatic use using Java s  ServiceLoader  mechanism.  https://junit.org/junit5/docs/current/user-guide/#extensions-registration-automatic  Some projects may want to provide their own  META-INF  file to avoid tediously adding  MockitoExtension  to tests since it is very common. However   ServiceLoader  requires the class to have a no-args *public* constructor  so the current extension cannot be used with the  ServiceLoader  mechanism.  Fixes #1390  check list   - [X] Read the [contributing guide](https://github.com/mockito/mockito/blob/release/2.x/.github/CONTRIBUTING.md)  - [X] PR should be motivated  i.e. what does it fix  why  and if relevant how  - [X] If possible / relevant include an example in the description  that could help all readers        including project members to get a better picture of the change  - [X] Avoid other runtime dependencies  - [X] Meaningful commit history   intention is important please rebase your commit history so that each        commit is meaningful and help the people that will explore a change in 2 years  - [X] The pull request follows coding style  - [X] Mention  Fixes #<issue number>  in the description _if relevant_  - [X] At least one commit should mention  Fixes #<issue number>  _if relevant_,
1,0,0,1,0,1,0,1,0,0,0,1,Jan Mosig, 2193,0,0,0,0,0,0,0,1,0,0,0,1, Fixes #2154 : java.lang.Object is now instrumented again, Seems like       // The object type does not ever need instrumentation. targets.remove(Object.class)       in  org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator.triggerRetransformation(Set<Class<?>>  boolean)  was a bit over the top  i. e. it does seem to break mocking of  toString  when inherited from  java.lang.Object .  I added a test for this which should have been there in the first place. Due to this  I am still not sure if removing the line is safe  even if the whole test suite is green. Please review carefully.,
1,0,0,0,0,0,0,1,0,0,0,1,Michael Keppler, 1792,0,0,0,0,0,1,0,0,0,0,0,0, Fix grammar, Past tense of  to nest  is  nested . Also fix plenking.,
