Network_x,Interpreter_x,i18n_x,Logic_x,Test_x,App_x,Author,prNumber,Network_y,Interpreter_y,i18n_y,Logic_y,Test_y,App_y,Title,Body,Comments
0,0,0,0,0,0,Peter Tackage, 4585,0,0,1,0,1,0, 2.x: Evaluate Schedule initialization via Callable, This implements the solution proposed in #4572 - to initialize the Schedulers via a Callable  rather than directly via a value.,
0,0,0,0,0,0,Vedran Prišćan, 5930,0,0,1,0,0,0, Add @NonNull annotations to create methods of Subjects and Processors, I am annotating *Subject s and *Processor s create methods with @NonNull annotations to remove compiler s nullability warnings when calling the methods from Kotlin language.,
0,0,1,0,1,1,Shixiong Zhu, 385 390 409 415 416 424 450 452 460 463 478 480 481 492 496 575 594 862 870 965 966 1056 1065 1088 1097 1099 1100 1111 1112 1134 1142 1160 1269 1367 1778 2642 2999 3000 3462 3468 3868 3977 4447 4619 4631,0,0,1,0,1,1, Implemented the  any  operator Implemented the  elementAt  and  elementAtOrDefault  operators. see #41 Implemented  Synchronize  with  lock Implemented the  Empty  operator with scheduler Implemented the  Throw  operator with scheduler Implemented the  IgnoreElements  operator Implemented the  TimeInterval  operator Implemented the scheduler version of the  Return  operator Implemented the  Amb  operator Added the rest overloads of Timeout operator Implemented the  Operator: Min and MinBy  and  Operator: Max and MaxBy BugFix: Emit an IllegalArgumentException instead of ArithmeticException if the observable is empty Implement the  Using  operator Implement the scheduler overloads for Range  From  StartWith Add contravariant for min and max Reimplement the  SequenceEqual  operator Implement the  Start  operator Update the timeout docs Add the selector variants of timeout in RxScala BugFix: Chain Subscription in TimeoutSubscriber and SerializedSubscriber Reimplement the ElementAt operator and add it to rxjava-scala Add drop(skip) and dropRight(skipLast) to rxscala Optimize OperatorSkipLastTimed OperatorToObservableFuture OperatorToMultimap OperatorToMap OperatorUsing OperatorTimeInterval OperatorThrottleFirst OperatorTakeLast Update  contains  signature to  contains(Object) Add  replay  and  multicast  variants to RxScala Fix the bug that int overflow can bypass the range check Fix the bug that  flatMap  swallows OnErrorNotImplementedException Change Transformer to Func1<Observable<T>  Observable<R>> Fix a potential memory leak in schedulePeriodically Fix a wrong assertion in assertError Replace the Java 7 AssertionError(message  cause) with initCause 1.x: A minor doc fix for  interval 1.x: Fix other places that may swallow OnErrorFailedException Fix an unsubscribe race in EventLoopWorker 1.x: Use the correct Throwable to set the cause for CompositeException Fix withLatestFrom s tparam 2.x: Make CompositeExcpetion thread-safe like 1.x and also fix some issues 2.x: Don t wrap with CompositeException when there is only one error, This implements the operator  Any  from #24 in all two variants.  However  I encountered two problems.  Updated: the online document http://msdn.microsoft.com/en-us/library/hh211993(v=vs.103).aspx is wrong. See my later discussion.  Another question is if I add the  any  method to  rx.Observable<T>   some unit tests will fail as the method  any  in   rx.Observable<T>  overrides the method  org.mockito.Matchers.any(java.lang.Class<T>)  in some unit tests (e.g.   rx.subjects.ReplaySubject<T> ). Do I need to use another method name  or just modify the unit tests? Now the  any  methods in  rx.Observable<T>  are commented out.  Thanks. Hi   This implements the  ElementAt  and  ElementAtOrDefault  operators from #41.  For  ElementAt   if the index is less than 0  or greater than or equal to the number of elements in the source sequence  an IndexOutOfBoundsException will be threw.  For  ElementAtOrDefault    if the index is less than 0  an IndexOutOfBoundsException will be threw. What s more  I added a  defaultValue  parameter. I can not get the element type in the source observable due to type erasure. So I can not determine the default value automatically. That s why  ElementAtOrDefault  needs  a  defaultValue  parameter. Hi   I implemented #84 to support that sending a lock to the  synchronize  operator.  I also found that there was a issue that  testMultiThreadedWithNPE  and  testMultiThreadedWithNPEinMiddle  might fail in some special situation. When  onError  is invoked before any  onNext   the last statement  assertEquals(1  busyObserver.maxConcurrentThreads.get())   in these methods will fail. I also fixed this issue in the pull request. Hi   I implemented the  Empty  operator with scheduler #42. Please take a look. Thanks. Hi   I implemented the  Throw  operator #89 with scheduler. I found that RxJava had an  error  method. So I just implemented the scheduler overload. Hi   I implemented the  IgnoreElements  operator #54. Please take a look. Thanks. Hi  this PR implemented the  TimeInterval  operator #90. Please take a look. Thanks. Hi  this is the scheduler version of the  Return  operator #73. Hi  this PR implemented the  Amb  operator #22. I used varargs to support the array version and first-second version in one method. So in my PR  there are only two variants. Hi  this PR implemented the rest overloads of  Timeout  operator #91. Please take a look. Thanks. Hi  this PR implemented the  Operator: Min and MinBy  #63 and  Operator: Max and MaxBy  #61. Every operator has 2 variants  one for  Comparable   another for  Comparator . Please take a look. Thanks! This PR fixed the  average  issue in #423. If an observable is empty   average  will emit an  IllegalArgumentException  instead of  ArithmeticException . Thanks! Hi  this PR implemented the  Using  operator #99. Please take a look. Thanks! Hi  this PR implemented the scheduler overloads for Range #68  From #98   StartWith #82. Please take a look. Thanks! Hi  this PR added  contravariant for min and max mentioned in #494. Hi  this PR reimplemented the  SequenceEqual  operator #76 and should fix the issue #564.  The wiki page https://github.com/Netflix/RxJava/wiki/Observable-Utility-Operators#sequenceequal still needs to be updated. @DavidMGross could you help update the marble diagram of  SequenceEqual ? Thanks! Hi  this PR implemented the  Start  operator #81. Please take a look. Updated the timeout docs. This PR added the selector variants of the  timeout  operator in the Scala and also added two examples. This PR chains Subscription in TimeoutSubscriber  and SerializedSubscriber. Found by @rbramw #951. Thanks for your unit tests  @rbramw nan nan Changed OperatorSkipLastTimed to only cache the latest items in the specified time window. Also make the Observable be able to unsubscribe.  Issue #1060 Operator  ToMultimap   Issue #1060 Operator  ToMap   Issue #1060 Operator  Using   Issue #1060 Operator  TimeInterval   Issue #1060 Operator  ThrottleFirst  and moved tests in  ThrottleFirstTests  to  OperatorThrottleFirstTest .  Issue #1060 Operator  TakeLast .  There are two changes comparing with the original implementations: - Throw IndexOutOfBoundsException at once when calling  takeLast  with  count < 0 . - Replace IllegalArgumentException with IndexOutOfBoundsException  when  count < 0  in  TakeLastWithTimed .  Issue #1060 The original  contains  signature can not support the following codes:      java     public void test() {         ArrayList<String> l = new ArrayList<String>()          l.add( test )          Observable<ArrayList<String>> o = Observable.<ArrayList<String>>from(l)          o.contains(Arrays.asList( test ))      }      This PR changes the signature from  contains(T)  to  contains(Object) . It s also consistent with  equals(Object) .  This change should not break the old codes. This PR has some breaking changes: - Change  def multicast[R >: T](subject: rx.lang.scala.Subject[R]): (() => Subscription  Observable[R])  to  def multicast[R >: T](subject: rx.lang.scala.Subject[R]): ConnectableObservable[R]  - Change  def replay: (() => Subscription  Observable[T])  to  def replay: ConnectableObservable[T]  - Remove  Observable.apply(Int)   So it s better to merge it at the next major release. #1152  #1153.  /cc @headinthebox @samuelgruetter Fix the bug mentioned in #1266 Fixed #1365 Not sure if any other place will swallow  OnErrorNotImplementedException  or the fatal errors. Less variance is better. I cannot find any bad case for this PR. Can someone help test it in Java 8 and Groovy? There is a potential memory leak in  schedulePeriodically  that may keep a reference to  action  after  unsubscribe .   Because  mas.set  is called after  schedule    it may replace a new Subscription (created in  recursiveAction ) with the old one. Therefore   unsubscribe  won t be able to unsubscribe the new Subscription and will keep the reference to  action  until the period time elapses.  This PR fixed it by calling  mas.set  before  schedule . nan AssertionError(message  cause)  is a Java 7 API. This PR uses RuntimeException to replace it  just like  assertNoErrors . nan Reviewed all usages of  OnErrorNotImplementedException  and fixed issues similar to #3455. There is an unsubscribe race condition similar to #3842 in  CachedThreadScheduler.EventLoopWorker  and  EventLoopsScheduler.EventLoopWorker . Image the following execution order:  | Execution Order | thread 1 | thread 2 | | --- | --- | --- | | 1 |  | submit task A | | 2 |  | submit task B | | 3 | unsubscribe Worker |  | | 4 | unsubscribe task A |  | | 5 |  | task A won t run as it s unsubscribed | | 6 |  | run task B | | 7 | unsubscribe task B |  |  So task B will run but its previous task A will be skipped.  This PR adds a check before running an action and moves  workerUnderConcurrentUnsubscribeShouldNotAllowLaterTasksToRunDueToUnsubscriptionRace  to  AbstractSchedulerConcurrencyTests  to test all concurrent schedulers. The cause of #3679 is we use a wrong Throwable (its cause has been set) to set the cause and  initCause  will throw an exception. Hence  the cause chain is not created correctly. In this PR  it searches the root cause (which doesn t have a cause) and use it to call  initCause . nan Right now CompositeExcpetion has several issues: -  CompositeException(Throwable... exceptions)  doesn t deduplicate exceptions and flatten CompositeExceptions like  CompositeException(Iterable<? extends Throwable> errors)  - If using  CompositeException(Iterable<? extends Throwable> errors)  to create CompositeException   suppress  cannot be used. -  suppress  doesn t update  cause . -  suppress  doesn t deduplicate exceptions and flatten CompositeExceptions. -  suppress  and  Throwable.addSuppressed  are pretty confusing for Java 7+ users. Without looking at the implementation  it s hard to figure out the differences.  This PR made the following changes: - Remove  CompositeException.suppress  so that it s easy to make CompositeException thread-safe.   - This may cause some performance lost in some path rarely happening  e.g.  an excpetion is thrown from  onError   but that s not a big deal.   - Since  suppress  is removed  it doesn t make sense to create an empty CompositeException  so  isEmpty  is removed and defense codes are added. - Defense codes for bad exceptions. - Deduplicate excepctions and flatten CompositeExceptions for  CompositeException(Throwable... exceptions) . nan,
0,0,0,0,0,0,Zsombor Erdődy-Nagy, 4567,0,0,1,0,1,0, Add extra Maybe iterable Amb tests for overlapped emissions, - Asserting that downstream will get the results of the first source that began emission  even if multiple sources have overlapped emissions - Testing Success and Error paths,
0,0,0,0,1,0,Logan Johnson, 1766 1767 3498 3733,0,0,1,1,1,1, Unhandled errors go to UncaughtExceptionHandler ExecutorScheduler delivers uncaught exceptions 1.x: Rename cache(int) to cacheWithInitialCapacity(int) Avoid swallowing errors in Completable, Rather than swallowing/logging errors  ScheduledAction now delivers them to the UncaughtExceptionHandler for the executing Thread. This gives client applications control over the handling of errors that occur off of the calling Thread. Instead of swallowing unhandled errors  ExecutorScheduler delivers them to the executing thread s UncaughtExceptionHandler.  This addresses the same issue as ReactiveX/RxJava#1682  but for ExecutorScheduler which does not used ScheduledAction. ~~The parameter is a capacity hint  but more frequently confused with a buffer size like replay(int) than it is correctly understood. It also offers no guarantees  only the weak hope of optimization.~~  The parameter is a capacity hint  but more frequently confused with a buffer size like replay(int) than it is correctly understood. It also offers no guarantees  only the weak hope of optimization.  This change renames the method  deprecating the old name. It also adds javadoc calling out that the parameter is not a bound and referencing replay(int).autoConnect() as a way to achieve that behavior. Instead  deliver them up to the thread s uncaught exception handler.  Fixes reactivex/rxjava#3726,
0,0,0,0,0,0,Luis Cortes, 6544 6556 6193 6199,0,0,1,0,1,1, Fixing version tag on Schedulers.from(Executor  boolean) 3.x rename on error resume next methods to disambiguate when calling from kotlin (#6551) Add  error handling  java docs section to from callable & co Fix terminology of cancel/dispose in the JavaDocs, Resolves #6543   Updating the version tag on  Schedulers.from(Executor  boolean)  since it was promoted. Resolves #6551   - Renamed  onErrorResumeNext(Source)  to  onErrorResumeWith(Source)  for  Observable    Maybe    Single   and  Flowable  - Renamed some unit tests and their classes to reflect the method name change - Changed parameter type of  Single.onErrorResumeWith  from  Single  to  SingleSource    - Updated JavaDocs for all renamed methods - Removed redundant casts for unit tests - Deleted duplicate unit test that arose from no longer needing to cast arguments Resolves #6179  Added JavaDocs describing the regular and canceled/disposed behavior for  -  Observable.fromCallable()  -  Single.fromCallable()  -  Maybe.fromAction()  -  Completable.fromCallable()  -  Completable.fromAction()  -  Flowable.fromCallable()   Did not alter  Maybe.fromCallable()  because the existing JavaDoc appears to be adequate. Resolves #6196  Changing terminology from cancel -> dispose wherever appropriate in the following classes:  -  Observable.java  -  Single.java  -  Maybe.java  -  Completable.java   Areas where I did _not_ change from cancel -> disposal include:   - where the cancellation was in reference to a  Flowable    Publisher   or a  Future  -  test()  methods where the  TestObserver  returned actually has a  cancel()  method,
0,0,0,0,0,0,Dmitriy Zaitsev, 4793 4118 4120,0,0,0,0,1,1, 2.x: Fix exceptions in javaDoc 1.x: provide an explanation why certain tests are ignored 2.x: provide an explanation why certain tests are ignored, I ve corrected some javadocs for methods that check arguments using  ObjectHelper.requireNonNull(arg   message ) . It throws  NullPointerException  instead of  IllegalArgumentException   but as we know copy-pasting is an insidious thing.  ) During code reading I ve found some tests that are ignored but don t have a record why they are being ignored. Some of them have meaningful explanations present as line comments  so I decided to make them the parameters of  @Ignore  annotation  so it will be correct. The same as #4118  but for 2.x,
