prNumber,Author,measure,relation,Network_x,DB_x,Interpreter_x,Logging_x,Data Structure_x,i18n_x,Setup_x,Microservices_x,Test_x,IO_x,UI_x,App_x,issueTitle,issueBody,issue_Comments,NLP_y,APM_y,Network_y,DB_y,Interpreter_y,Logging_y,Lang_y,Data Structure_y,DevOps_y,i18n_y,Setup_y,Microservices_y,Test_y,Search_y,IO_y,UI_y,Parser_y,Security_y,Cloud_y,App_y,Title,Body,Comments
4549,Rob Platt,1.0,=,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,fixes that renaming a group did not change the group name in the interface,3189,|| when you close and expand the group the change should also be visible no idea though why it is not visible immediately the same issue occurs if you assign an icon or color to the group || might be related to this: || these bug still exists i will work on it || when i press edit group that show `orgjabrefmodelgroupsabstractgroup#name` instead of `orgjabrefguigroupsgroupnodeviewmodel#displayname` why? whats the difference between them? || the `displayname` is a formatted version of `name` for example if `name` contains latex commands like `hell\{o}` then `displayname` is the unicode version `helló` || this should be fixed in the latest development version could you please check the build from  thanks! please remember to make a backup of your library before trying-out this version || can confirm this has been fixed in:jabref 50-dev--snapshot--2019-01-05--master--d281ece4bwindows 10 100 amd64 java 180_191,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0, Fixed exception about missing custom css file, Fixes #7177  Java Exception when trying to open the preferences with missing custom theme   After some testing I found that there two main paths that could result in the same failure: the CSS file being missing before application start  and changing the name of the CSS file while the application is running. To resolve the latter  I think the best approach is to check the custom CSS file exists.  This is already done for the Theme as used for most of the application  however the Preview Viewer has it s own CSS URL logic.  Rather than add file checking logic to the Preview Viewer  I have refactored and moved the theme logic of Preview Viewer into Theme  so that all CSS URL logic is encapsulated in that class. I have also put the logic that checks that the URL is valid and filters it to an Optional.empty() into one new method  additionalCssToLoad()  in place of the field of the same name. This ensure that the file existence check is performed in all cases  rather than just at construction of the Theme object.  I have kept the Optional<URL> field so there should be no overhead to this approach for the built in themes  and only the minor and necessary overhead of file existence checking for the custom theme.  For manual testing I checked:  - previews and overall appearance for default theme are correct  after restart - previews and overall appearance for dark theme are correct  after restart - previews and overall appearance with a custom theme with a valid name are correct  after restart - live changes to the custom theme still work  in general and for preview - rename custom theme so that the configured theme is no longer correct  **before application start**. The preview is no longer themed but there is no error. - the preview theme is restored when the filename is restored to the configured value  without restarting the application - Restart. Rename custom theme so that the configured theme is no longer correct  **while application is running**. The preview remains themed (typically sized CSS themes are data URL embedded and so survive file removal).  These tests were run both with the Gradle run task  and on the built binary (rationale: gradle presents the dark theme as a file  while the binary has it built in on a jrt: URL  so the results could be different).  PR tasks:  - [X] Change in CHANGELOG.md described (if applicable) - [X] Tests created for changes (if applicable) - [X] Manually tested changed features in running JabRef (always required) - [X] ~~Screenshots added in PR description (for UI changes)~~ (N/A) - [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
4780,Rob Platt,1.0,=,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0, Fixed exception about missing custom css file, Fixes #7177  Java Exception when trying to open the preferences with missing custom theme   After some testing I found that there two main paths that could result in the same failure: the CSS file being missing before application start  and changing the name of the CSS file while the application is running. To resolve the latter  I think the best approach is to check the custom CSS file exists.  This is already done for the Theme as used for most of the application  however the Preview Viewer has it s own CSS URL logic.  Rather than add file checking logic to the Preview Viewer  I have refactored and moved the theme logic of Preview Viewer into Theme  so that all CSS URL logic is encapsulated in that class. I have also put the logic that checks that the URL is valid and filters it to an Optional.empty() into one new method  additionalCssToLoad()  in place of the field of the same name. This ensure that the file existence check is performed in all cases  rather than just at construction of the Theme object.  I have kept the Optional<URL> field so there should be no overhead to this approach for the built in themes  and only the minor and necessary overhead of file existence checking for the custom theme.  For manual testing I checked:  - previews and overall appearance for default theme are correct  after restart - previews and overall appearance for dark theme are correct  after restart - previews and overall appearance with a custom theme with a valid name are correct  after restart - live changes to the custom theme still work  in general and for preview - rename custom theme so that the configured theme is no longer correct  **before application start**. The preview is no longer themed but there is no error. - the preview theme is restored when the filename is restored to the configured value  without restarting the application - Restart. Rename custom theme so that the configured theme is no longer correct  **while application is running**. The preview remains themed (typically sized CSS themes are data URL embedded and so survive file removal).  These tests were run both with the Gradle run task  and on the built binary (rationale: gradle presents the dark theme as a file  while the binary has it built in on a jrt: URL  so the results could be different).  PR tasks:  - [X] Change in CHANGELOG.md described (if applicable) - [X] Tests created for changes (if applicable) - [X] Manually tested changed features in running JabRef (always required) - [X] ~~Screenshots added in PR description (for UI changes)~~ (N/A) - [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
3931,Rob Platt,1.0,=,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3929 correct fetcher messages,3929,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0, Fixed exception about missing custom css file, Fixes #7177  Java Exception when trying to open the preferences with missing custom theme   After some testing I found that there two main paths that could result in the same failure: the CSS file being missing before application start  and changing the name of the CSS file while the application is running. To resolve the latter  I think the best approach is to check the custom CSS file exists.  This is already done for the Theme as used for most of the application  however the Preview Viewer has it s own CSS URL logic.  Rather than add file checking logic to the Preview Viewer  I have refactored and moved the theme logic of Preview Viewer into Theme  so that all CSS URL logic is encapsulated in that class. I have also put the logic that checks that the URL is valid and filters it to an Optional.empty() into one new method  additionalCssToLoad()  in place of the field of the same name. This ensure that the file existence check is performed in all cases  rather than just at construction of the Theme object.  I have kept the Optional<URL> field so there should be no overhead to this approach for the built in themes  and only the minor and necessary overhead of file existence checking for the custom theme.  For manual testing I checked:  - previews and overall appearance for default theme are correct  after restart - previews and overall appearance for dark theme are correct  after restart - previews and overall appearance with a custom theme with a valid name are correct  after restart - live changes to the custom theme still work  in general and for preview - rename custom theme so that the configured theme is no longer correct  **before application start**. The preview is no longer themed but there is no error. - the preview theme is restored when the filename is restored to the configured value  without restarting the application - Restart. Rename custom theme so that the configured theme is no longer correct  **while application is running**. The preview remains themed (typically sized CSS themes are data URL embedded and so survive file removal).  These tests were run both with the Gradle run task  and on the built binary (rationale: gradle presents the dark theme as a file  while the binary has it built in on a jrt: URL  so the results could be different).  PR tasks:  - [X] Change in CHANGELOG.md described (if applicable) - [X] Tests created for changes (if applicable) - [X] Manually tested changed features in running JabRef (always required) - [X] ~~Screenshots added in PR description (for UI changes)~~ (N/A) - [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
3325,Rob Platt,1.0,=,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3292: annotations are now automatically refreshed,   -->this pr aims to 3292 by removing the refresh button completely and monitoring the pdf files automatically for changes in the progress of the implementation a few refactorings were made:- extract the file monitoring functionality from `fileupdatemonitor` to a new class and convert the timestamp-based method to the new nio watcher interface- extract the conflict handling code by external bib file changes from the base panel to a new class `databasechangemonitor` where also some of the old code from `fileupdatemonitor` now finds a new home this class is still a bit ugly but in my opinion better than before i hope that the conflict handling still works as expected i tested it but might have missed some special cases/configurations------  change in changelogmd described-  -   ()-  manually tested changed features in running jabref-   ( [helpjabreforg](  if you changed the localization: did you run `gradle ate`?,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0, Fixed exception about missing custom css file, Fixes #7177  Java Exception when trying to open the preferences with missing custom theme   After some testing I found that there two main paths that could result in the same failure: the CSS file being missing before application start  and changing the name of the CSS file while the application is running. To resolve the latter  I think the best approach is to check the custom CSS file exists.  This is already done for the Theme as used for most of the application  however the Preview Viewer has it s own CSS URL logic.  Rather than add file checking logic to the Preview Viewer  I have refactored and moved the theme logic of Preview Viewer into Theme  so that all CSS URL logic is encapsulated in that class. I have also put the logic that checks that the URL is valid and filters it to an Optional.empty() into one new method  additionalCssToLoad()  in place of the field of the same name. This ensure that the file existence check is performed in all cases  rather than just at construction of the Theme object.  I have kept the Optional<URL> field so there should be no overhead to this approach for the built in themes  and only the minor and necessary overhead of file existence checking for the custom theme.  For manual testing I checked:  - previews and overall appearance for default theme are correct  after restart - previews and overall appearance for dark theme are correct  after restart - previews and overall appearance with a custom theme with a valid name are correct  after restart - live changes to the custom theme still work  in general and for preview - rename custom theme so that the configured theme is no longer correct  **before application start**. The preview is no longer themed but there is no error. - the preview theme is restored when the filename is restored to the configured value  without restarting the application - Restart. Rename custom theme so that the configured theme is no longer correct  **while application is running**. The preview remains themed (typically sized CSS themes are data URL embedded and so survive file removal).  These tests were run both with the Gradle run task  and on the built binary (rationale: gradle presents the dark theme as a file  while the binary has it built in on a jrt: URL  so the results could be different).  PR tasks:  - [X] Change in CHANGELOG.md described (if applicable) - [X] Tests created for changes (if applicable) - [X] Manually tested changed features in running JabRef (always required) - [X] ~~Screenshots added in PR description (for UI changes)~~ (N/A) - [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
2614,Rob Platt,1.0,=,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,cleanup window has a scrollbar now,fix for issue #2501-  change in changelogmd described-  -   ()-  manually tested changed features in running jabref-   ( [helpjabreforg](  if you changed the localization: did you run `gradle ate`?,|| i tried to fix the layout stuff in #2415 i could not really test it so i would ask you to test that version  as soon as the tests run through  || no resize for cleanup window using ````jabref-400-dev--snapshot--2017-02-03--movefiledir--07a1c4477jar```` || this has been fixed with #2614 - and is now included in the dev builds,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0, Fixed exception about missing custom css file, Fixes #7177  Java Exception when trying to open the preferences with missing custom theme   After some testing I found that there two main paths that could result in the same failure: the CSS file being missing before application start  and changing the name of the CSS file while the application is running. To resolve the latter  I think the best approach is to check the custom CSS file exists.  This is already done for the Theme as used for most of the application  however the Preview Viewer has it s own CSS URL logic.  Rather than add file checking logic to the Preview Viewer  I have refactored and moved the theme logic of Preview Viewer into Theme  so that all CSS URL logic is encapsulated in that class. I have also put the logic that checks that the URL is valid and filters it to an Optional.empty() into one new method  additionalCssToLoad()  in place of the field of the same name. This ensure that the file existence check is performed in all cases  rather than just at construction of the Theme object.  I have kept the Optional<URL> field so there should be no overhead to this approach for the built in themes  and only the minor and necessary overhead of file existence checking for the custom theme.  For manual testing I checked:  - previews and overall appearance for default theme are correct  after restart - previews and overall appearance for dark theme are correct  after restart - previews and overall appearance with a custom theme with a valid name are correct  after restart - live changes to the custom theme still work  in general and for preview - rename custom theme so that the configured theme is no longer correct  **before application start**. The preview is no longer themed but there is no error. - the preview theme is restored when the filename is restored to the configured value  without restarting the application - Restart. Rename custom theme so that the configured theme is no longer correct  **while application is running**. The preview remains themed (typically sized CSS themes are data URL embedded and so survive file removal).  These tests were run both with the Gradle run task  and on the built binary (rationale: gradle presents the dark theme as a file  while the binary has it built in on a jrt: URL  so the results could be different).  PR tasks:  - [X] Change in CHANGELOG.md described (if applicable) - [X] Tests created for changes (if applicable) - [X] Manually tested changed features in running JabRef (always required) - [X] ~~Screenshots added in PR description (for UI changes)~~ (N/A) - [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
2114,Vincent Gagnon,0.8333,=,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,ctrl-s parsing error message,2109 ctrl-s doesnt trigger parsing error messageproblem: conflict of local shortcut (of the entry editor) with the global shortcutsolution: local shortcut removed (the action assigned to local and global shortcut is essentially the same (save database))-  change in changelogmd described-  -   ()-  manually tested changed features in running jabref-   ( [helpjabreforg](  if you changed the localization: did you run `gradle ate`?,,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0, fixed issue 6692 Fix HTML chars formatter for percent sign, Fixes #6692  renamed listBind to bindContent where it was used Fixes #6753   - [x] Change in CHANGELOG.md described (if applicable) - [x] Tests created for changes (if applicable) - [X] Manually tested changed features in running JabRef (always required) - [ ] Screenshots added in PR description (for UI changes) - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
1981,Rob Platt,0.8,=,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,icon does not change when toggling global search,issue: #1979,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0, Fixed exception about missing custom css file, Fixes #7177  Java Exception when trying to open the preferences with missing custom theme   After some testing I found that there two main paths that could result in the same failure: the CSS file being missing before application start  and changing the name of the CSS file while the application is running. To resolve the latter  I think the best approach is to check the custom CSS file exists.  This is already done for the Theme as used for most of the application  however the Preview Viewer has it s own CSS URL logic.  Rather than add file checking logic to the Preview Viewer  I have refactored and moved the theme logic of Preview Viewer into Theme  so that all CSS URL logic is encapsulated in that class. I have also put the logic that checks that the URL is valid and filters it to an Optional.empty() into one new method  additionalCssToLoad()  in place of the field of the same name. This ensure that the file existence check is performed in all cases  rather than just at construction of the Theme object.  I have kept the Optional<URL> field so there should be no overhead to this approach for the built in themes  and only the minor and necessary overhead of file existence checking for the custom theme.  For manual testing I checked:  - previews and overall appearance for default theme are correct  after restart - previews and overall appearance for dark theme are correct  after restart - previews and overall appearance with a custom theme with a valid name are correct  after restart - live changes to the custom theme still work  in general and for preview - rename custom theme so that the configured theme is no longer correct  **before application start**. The preview is no longer themed but there is no error. - the preview theme is restored when the filename is restored to the configured value  without restarting the application - Restart. Rename custom theme so that the configured theme is no longer correct  **while application is running**. The preview remains themed (typically sized CSS themes are data URL embedded and so survive file removal).  These tests were run both with the Gradle run task  and on the built binary (rationale: gradle presents the dark theme as a file  while the binary has it built in on a jrt: URL  so the results could be different).  PR tasks:  - [X] Change in CHANGELOG.md described (if applicable) - [X] Tests created for changes (if applicable) - [X] Manually tested changed features in running JabRef (always required) - [X] ~~Screenshots added in PR description (for UI changes)~~ (N/A) - [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
491,Houssem Nasri,0.8,=,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,add close all/others/ in database tab menu,see #314,|| :+1: :sunglasses:  || continue discussion in pr #491,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0, Improve library loading UX, When JabRef opens a library  it opens a file  runs the database parser  and after everything is done  creates a new tab in the frame with the contents of the open database.  An improvement would be to first create a tab in the frame  display a loading animation  and after the parser has finished  display all entries (or display every entry as soon as it is parsed).  there is a bug that I couldn t fix  even after data is loaded the group pane will keep showing 0 entry  you need to navigate away from the tab and back to get the real number of entries  about applying the improvement on startup  I think having a splash screen will look better something like a blocking dialog that displays a ProgressIndicator  Closes #6417 ![im1](https://imgur.com/fAyMdUX.jpg) ![im2](https://imgur.com/FvDHIwM.jpg) ![im3](https://imgur.com/7juc16x.jpg) ![im4](https://imgur.com/8NLHA2q.jpg) - [ ] Change in CHANGELOG.md described (if applicable) - [ ] Tests created for changes (if applicable) - [x] Manually tested changed features in running JabRef (always required) - [x] Screenshots added in PR description (for UI changes) - [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
677,Houssem Nasri,0.8,=,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,make bibtex parser more robust against missing newlines,as described in #669 and #621 the parser has some problems when an entry (or preamble) follows directly the file encoding header (on the same line) ie `% encoding: myencoding @article{}`actually as the tests reveal it was not a problem with the actual parser but within the file opening logic i dont view this pr as a complete fix for #669 and #621 since not just the parser but also the serialization should be improvedalso fix a bug that prevented the import of bibtex entries having only a key as its content,|| related #621 || @tobiasdiez is this fixed? || @stefan-kolb it will be fixed with #718  || too late in the evening should have seen that myself :smile: :+1:,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0, Improve library loading UX, When JabRef opens a library  it opens a file  runs the database parser  and after everything is done  creates a new tab in the frame with the contents of the open database.  An improvement would be to first create a tab in the frame  display a loading animation  and after the parser has finished  display all entries (or display every entry as soon as it is parsed).  there is a bug that I couldn t fix  even after data is loaded the group pane will keep showing 0 entry  you need to navigate away from the tab and back to get the real number of entries  about applying the improvement on startup  I think having a splash screen will look better something like a blocking dialog that displays a ProgressIndicator  Closes #6417 ![im1](https://imgur.com/fAyMdUX.jpg) ![im2](https://imgur.com/FvDHIwM.jpg) ![im3](https://imgur.com/7juc16x.jpg) ![im4](https://imgur.com/8NLHA2q.jpg) - [ ] Change in CHANGELOG.md described (if applicable) - [ ] Tests created for changes (if applicable) - [x] Manually tested changed features in running JabRef (always required) - [x] Screenshots added in PR description (for UI changes) - [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
2995,Rob Platt,0.75,=,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,less backups,addresses #2993the frequent events are due to the bidirectional binding which transfers every change directly into the bibentry if we want fewer events the only solution will probably be to break the binding which would be very disappointing for the javafx implementation in my point of view the problem is not on the side of event creation after all every change should trigger an event and javafx triggers many changes imho this should be fixed in how we react to eventsi also noticed the exception but do not get a dialog this seems to happen because of the save operation invoked by the backupa solution might be to do less backups by: 1 doing backups only every x events and not for every event 2 ignoring fieldchangeevents in the backup 3 adding the size of the field change in the fieldchangeevent class so that you can ignore it if only 1 character changedthis pr combines options 1 and 3 ie: the backup manager ignores events that are very minor and only does a backup if enough of them have happened (currently set to five)what do you think?-  change in changelogmd described-  -   ()-  manually tested changed features in running jabref-   ( [helpjabreforg](  if you changed the localization: did you run `gradle ate`?,|| fixed by #2995,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0, Fixed exception about missing custom css file, Fixes #7177  Java Exception when trying to open the preferences with missing custom theme   After some testing I found that there two main paths that could result in the same failure: the CSS file being missing before application start  and changing the name of the CSS file while the application is running. To resolve the latter  I think the best approach is to check the custom CSS file exists.  This is already done for the Theme as used for most of the application  however the Preview Viewer has it s own CSS URL logic.  Rather than add file checking logic to the Preview Viewer  I have refactored and moved the theme logic of Preview Viewer into Theme  so that all CSS URL logic is encapsulated in that class. I have also put the logic that checks that the URL is valid and filters it to an Optional.empty() into one new method  additionalCssToLoad()  in place of the field of the same name. This ensure that the file existence check is performed in all cases  rather than just at construction of the Theme object.  I have kept the Optional<URL> field so there should be no overhead to this approach for the built in themes  and only the minor and necessary overhead of file existence checking for the custom theme.  For manual testing I checked:  - previews and overall appearance for default theme are correct  after restart - previews and overall appearance for dark theme are correct  after restart - previews and overall appearance with a custom theme with a valid name are correct  after restart - live changes to the custom theme still work  in general and for preview - rename custom theme so that the configured theme is no longer correct  **before application start**. The preview is no longer themed but there is no error. - the preview theme is restored when the filename is restored to the configured value  without restarting the application - Restart. Rename custom theme so that the configured theme is no longer correct  **while application is running**. The preview remains themed (typically sized CSS themes are data URL embedded and so survive file removal).  These tests were run both with the Gradle run task  and on the built binary (rationale: gradle presents the dark theme as a file  while the binary has it built in on a jrt: URL  so the results could be different).  PR tasks:  - [X] Change in CHANGELOG.md described (if applicable) - [X] Tests created for changes (if applicable) - [X] Manually tested changed features in running JabRef (always required) - [X] ~~Screenshots added in PR description (for UI changes)~~ (N/A) - [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.,
