prNumber,Author,measure,relation,Network_x,DB_x,Interpreter_x,Logging_x,Data Structure_x,i18n_x,Setup_x,Microservices_x,Test_x,IO_x,UI_x,App_x,issueTitle,issueBody,issue_Comments,Util_y,Network_y,Interpreter_y,Error Handling_y,Lang_y,i18n_y,Setup_y,Logic_y,IO_y,Security_y,Event Handling_y,App_y,Title,Body,Comments
925,Philip P. Moltmann,0.4286,=,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,add tests for metadata parsing,this solves #707 and prepares the way to refactor the metadata classi added a few methods to the metadata class to make testing more convenient many calls to getdata() in fact can be replaced by these new methods i think this is something for a new prone question: to write the tests in a nice way i had to overwrite a few equals methods in particular for the lowercasechanger should i also override equals for all other formatters?,|| seems like this issue has already been fixed 8 months ago high time for closing,1,1,0,0,0,1,0,1,1,0,0,1, Update public API of InvocationFactory needed for Android static mocking Avoid bytebuddy import Issue to enable repackaging without bytebuddy Enable errorprone build, Fixes #1306  A real method might throw a Throwable  but the invocations produced by InvocationFactory call the real method via a Callable that can only throw a Exception.  Hence add a new method to InvocationFactory that allows to create invocations with a RealMethodBehavior == a Callable that throws a Throwable. This allows libs that use alternate mockmakers do cleanly exclude the bytebuddy subdirectory.  Test: grep -r -e  import org\.mockito\.internal\.creation\.bytebuddy\.[^\.]*$  src/main does not return anything  Offers workaround for #1112 - fix up issues found - placate error prone warning where we know we do something funky - Ignore two tests as it is not immediately clear what is broken   - org.mockitousage.bugs.varargs.VarargsNotPlayingWithAnyObjectTest#shouldNotAllowUsingAnyObjectForVarArgs   - org.mockito.internal.util.PrimitivesTest#should_check_that_value_type_is_assignable_to_wrapper_reference  NOTE: Please carefully review the changes made to the code. I fixed them up as good as I could but a real mockito expert need to verify them.,
1981,Philip P. Moltmann,0.375,=,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,icon does not change when toggling global search,issue: #1979,,1,1,0,0,0,1,0,1,1,0,0,1, Update public API of InvocationFactory needed for Android static mocking Avoid bytebuddy import Issue to enable repackaging without bytebuddy Enable errorprone build, Fixes #1306  A real method might throw a Throwable  but the invocations produced by InvocationFactory call the real method via a Callable that can only throw a Exception.  Hence add a new method to InvocationFactory that allows to create invocations with a RealMethodBehavior == a Callable that throws a Throwable. This allows libs that use alternate mockmakers do cleanly exclude the bytebuddy subdirectory.  Test: grep -r -e  import org\.mockito\.internal\.creation\.bytebuddy\.[^\.]*$  src/main does not return anything  Offers workaround for #1112 - fix up issues found - placate error prone warning where we know we do something funky - Ignore two tests as it is not immediately clear what is broken   - org.mockitousage.bugs.varargs.VarargsNotPlayingWithAnyObjectTest#shouldNotAllowUsingAnyObjectForVarArgs   - org.mockito.internal.util.PrimitivesTest#should_check_that_value_type_is_assignable_to_wrapper_reference  NOTE: Please carefully review the changes made to the code. I fixed them up as good as I could but a real mockito expert need to verify them.,
4822,Dmitriy Zaitsev,0.3077,=,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,convert autolinkfilesaction to javafx,4819also convert a few other message boxes to javafx        ( (      because github does not support autolinking there -->-----  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?),,1,1,1,1,0,1,1,1,1,1,1,1, Add missing copyright headers, - [x] Fixes #727  - [x] Add missing copyrights using [license-gradle-plugin](https://github.com/hierynomus/license-gradle-plugin). - [x] Updated only source files. Test files were skipped. Existing copyright headers were not modified.,
4999,Dmitriy Zaitsev,0.3077,=,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,fix iee fetcher,4997 add exception dialog on import failcheck if we have keywords field present in json        ( (      because github does not support autolinking there -->-----  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?),|| thanks for your report! this was indeed a bug in the ieee fetcher in addtion if any fetcher throws an error it will be displayed in a dialog nowwe would like to ask you to use a development build from  and report back if it works for you please remember to make a backup of your library before trying-out this version,1,1,1,1,0,1,1,1,1,1,1,1, Add missing copyright headers, - [x] Fixes #727  - [x] Add missing copyrights using [license-gradle-plugin](https://github.com/hierynomus/license-gradle-plugin). - [x] Updated only source files. Test files were skipped. Existing copyright headers were not modified.,
4604,Dmitriy Zaitsev,0.3077,=,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,enable default cursor for new entry,4600sets text field on focus at the end of initialization by running the javafx thread-----  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?),|| thanks to @chelseyong this is now implemented in the latest development version could you please check the build from  thanks! please remember to make a backup of your library before trying-out this version,1,1,1,1,0,1,1,1,1,1,1,1, Add missing copyright headers, - [x] Fixes #727  - [x] Add missing copyrights using [license-gradle-plugin](https://github.com/hierynomus/license-gradle-plugin). - [x] Updated only source files. Test files were skipped. Existing copyright headers were not modified.,
1944,Dmitriy Zaitsev,0.3077,=,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,try around with xmlunit,   -->see #1943 for details -  change in changelogmd described-  -   ()-  manually tested changed features in running jabref-   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?),,1,1,1,1,0,1,1,1,1,1,1,1, Add missing copyright headers, - [x] Fixes #727  - [x] Add missing copyrights using [license-gradle-plugin](https://github.com/hierynomus/license-gradle-plugin). - [x] Updated only source files. Test files were skipped. Existing copyright headers were not modified.,
3709,Dmitriy Zaitsev,0.3077,=,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,group separator escaping,3646,|| duplicate of #365,1,1,1,1,0,1,1,1,1,1,1,1, Add missing copyright headers, - [x] Fixes #727  - [x] Add missing copyrights using [license-gradle-plugin](https://github.com/hierynomus/license-gradle-plugin). - [x] Updated only source files. Test files were skipped. Existing copyright headers were not modified.,
1168,Philip P. Moltmann,0.3,=,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1163 by removing the strange functionality which enabled sorting…,we have some very strange logic in jabref which allows to handle years using only the two last numbers so we can detect that 68 means 1968 this causes a lot of issues i do not think that jabref should still support such strange logic and just use the value which is in the year field hence i removed it this also solves the issue of having that yearutil in the model package which duplicated a method in the stringutil class refs #1163,,1,1,0,0,0,1,0,1,1,0,0,1, Update public API of InvocationFactory needed for Android static mocking Avoid bytebuddy import Issue to enable repackaging without bytebuddy Enable errorprone build, Fixes #1306  A real method might throw a Throwable  but the invocations produced by InvocationFactory call the real method via a Callable that can only throw a Exception.  Hence add a new method to InvocationFactory that allows to create invocations with a RealMethodBehavior == a Callable that throws a Throwable. This allows libs that use alternate mockmakers do cleanly exclude the bytebuddy subdirectory.  Test: grep -r -e  import org\.mockito\.internal\.creation\.bytebuddy\.[^\.]*$  src/main does not return anything  Offers workaround for #1112 - fix up issues found - placate error prone warning where we know we do something funky - Ignore two tests as it is not immediately clear what is broken   - org.mockitousage.bugs.varargs.VarargsNotPlayingWithAnyObjectTest#shouldNotAllowUsingAnyObjectForVarArgs   - org.mockito.internal.util.PrimitivesTest#should_check_that_value_type_is_assignable_to_wrapper_reference  NOTE: Please carefully review the changes made to the code. I fixed them up as good as I could but a real mockito expert need to verify them.,
2995,Philip P. Moltmann,0.2857,=,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,less backups,addresses #2993the frequent events are due to the bidirectional binding which transfers every change directly into the bibentry if we want fewer events the only solution will probably be to break the binding which would be very disappointing for the javafx implementation in my point of view the problem is not on the side of event creation after all every change should trigger an event and javafx triggers many changes imho this should be fixed in how we react to eventsi also noticed the exception but do not get a dialog this seems to happen because of the save operation invoked by the backupa solution might be to do less backups by: 1 doing backups only every x events and not for every event 2 ignoring fieldchangeevents in the backup 3 adding the size of the field change in the fieldchangeevent class so that you can ignore it if only 1 character changedthis pr combines options 1 and 3 ie: the backup manager ignores events that are very minor and only does a backup if enough of them have happened (currently set to five)what do you think?-  change in changelogmd described-  -   ()-  manually tested changed features in running jabref-   ( [helpjabreforg](  if you changed the localization: did you run `gradle ate`?,|| fixed by #2995,1,1,0,0,0,1,0,1,1,0,0,1, Update public API of InvocationFactory needed for Android static mocking Avoid bytebuddy import Issue to enable repackaging without bytebuddy Enable errorprone build, Fixes #1306  A real method might throw a Throwable  but the invocations produced by InvocationFactory call the real method via a Callable that can only throw a Exception.  Hence add a new method to InvocationFactory that allows to create invocations with a RealMethodBehavior == a Callable that throws a Throwable. This allows libs that use alternate mockmakers do cleanly exclude the bytebuddy subdirectory.  Test: grep -r -e  import org\.mockito\.internal\.creation\.bytebuddy\.[^\.]*$  src/main does not return anything  Offers workaround for #1112 - fix up issues found - placate error prone warning where we know we do something funky - Ignore two tests as it is not immediately clear what is broken   - org.mockitousage.bugs.varargs.VarargsNotPlayingWithAnyObjectTest#shouldNotAllowUsingAnyObjectForVarArgs   - org.mockito.internal.util.PrimitivesTest#should_check_that_value_type_is_assignable_to_wrapper_reference  NOTE: Please carefully review the changes made to the code. I fixed them up as good as I could but a real mockito expert need to verify them.,
1041,Philip P. Moltmann,0.2857,=,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,write database type in lower case into the bib file,this finally 963 a quick fix has been introduced in 661eea007e555 but that does not cover the lower case writing of the type```@comment{jabref-meta: database_type:bibtex}```finally gets```@comment{jabref-meta: databasetype:bibtex}```-  change in changelogmd described -> this has been introduced in the development versions after the last release thus no entry required-   -> tests have been adapted to match this new implementation,|| you keep `bibtex` and `biblatex` (instead of `bibtex` and `biblatex`) because of  :innocent:,1,1,0,0,0,1,0,1,1,0,0,1, Update public API of InvocationFactory needed for Android static mocking Avoid bytebuddy import Issue to enable repackaging without bytebuddy Enable errorprone build, Fixes #1306  A real method might throw a Throwable  but the invocations produced by InvocationFactory call the real method via a Callable that can only throw a Exception.  Hence add a new method to InvocationFactory that allows to create invocations with a RealMethodBehavior == a Callable that throws a Throwable. This allows libs that use alternate mockmakers do cleanly exclude the bytebuddy subdirectory.  Test: grep -r -e  import org\.mockito\.internal\.creation\.bytebuddy\.[^\.]*$  src/main does not return anything  Offers workaround for #1112 - fix up issues found - placate error prone warning where we know we do something funky - Ignore two tests as it is not immediately clear what is broken   - org.mockitousage.bugs.varargs.VarargsNotPlayingWithAnyObjectTest#shouldNotAllowUsingAnyObjectForVarArgs   - org.mockito.internal.util.PrimitivesTest#should_check_that_value_type_is_assignable_to_wrapper_reference  NOTE: Please carefully review the changes made to the code. I fixed them up as good as I could but a real mockito expert need to verify them.,
