prNumber,Author,measure,relation,Network_x,DB_x,Interpreter_x,Logging_x,Data Structure_x,i18n_x,Setup_x,Microservices_x,Test_x,IO_x,UI_x,App_x,issueTitle,issueBody,issue_Comments,Network_y,Interpreter_y,i18n_y,Logic_y,Test_y,App_y,Title,Body,Comments
1440,Jan Knotek,0.6667,=,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1420 auto downloader should respect file pattern and propose correct filename,(https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png),,0,0,0,0,1,1, Null check for BufferExactBoundedObserver, - [*] Please give a description about what and why you are contributing  even if it s trivial:  **Improve stability of the library.** Other variants of the onComplete method include this Null check already  e.g. BufferExactUnboundedObserver  this check should fix the case when there is a race condition and buffer is already set to  null  by the time onComplete is called.  It is causing 0.1% crashes in our production app  this should improve stability of other apps too.,
1440,Mathieu Gabriel,0.6667,=,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1420 auto downloader should respect file pattern and propose correct filename,(https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png),,0,0,0,0,1,1, Fix FlowableOnBackpressureBufferStrategy FlowableWithLatestFrom forgets request, Fix buffered objects not propagated downstream in FlowableOnBackpressureBufferStrategy Fix drop strategy logic in FlowableOnBackpressureBufferStrategy Add unit test for FlowableOnBackpressureBufferStrategy  copied from FlowableOnBackpressureBufferTest  there is still some work needed to have a better coverage The following scenario did not work with FlowableWithLatestFrom: Flowable<?> result = source.combineWithLatest(other  someCombiner) - client subscribe to the result stream - source stream emits - other stream emits - source stream emits  expected result: result stream emits the combined event actual result: result stream does not emit anything,
1440,Zach Klippenstein,0.6667,=,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1420 auto downloader should respect file pattern and propose correct filename,(https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png),,0,0,0,0,1,1, 1.x: Add Completable.doOnCompleted and deprecate Completable.doOnComplete, Closes #3700.,
1440,Volkan Yazıcı,0.6667,=,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1420 auto downloader should respect file pattern and propose correct filename,(https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png),,0,0,0,0,1,1, Wrap InterruptedException with an unchecked exception in TestSubscriber#awaitValueCount()., In its current form   awaitValueCount()  is the only  TestSubscriber#await* method that throws a checked exception (that is   InterruptedException )  whereas the others wrap it with a  IllegalStateException . This spreads a try-catch disease throughout the entire code base where  awaitValueCount()  is used. One can argue that why not just declaring the exception in the caller method footprint: Because you might be implementing an interface (e.g.  Runnable ) which does not allow any exceptions in its footprint. This patch wraps the  InterruptedException  with an unchecked exception in  TestSubscriber#awaitValueCount() .,
1440,Björn Quentin,0.6667,=,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1420 auto downloader should respect file pattern and propose correct filename,(https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png),,0,0,0,0,1,1, Use JUnit s assert format for assert messages to enable better suppor…, This changes the message format of  assert  to match that of JUnit. This way IDEs like IntelliJ IDEA are able to parse it and offer functionality like  compare values .,
1440,Yasuhiro SHIMIZU,0.6667,=,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1420 auto downloader should respect file pattern and propose correct filename,(https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png),,0,0,0,0,1,1, 1.x: add unsubscribeOn to Single type (#5138), resolve #5138   add unsubscribeOn to Single type.,
1440,PunitD,0.6667,=,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1420 auto downloader should respect file pattern and propose correct filename,(https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png),,0,0,0,0,1,1, 2.x: explain null observer/subscriber error reports in detail from RxJavaPlugins Javadoc : Explain explicitly about using Emitter interface methods synchronously Javadoc: explain that distinctUntilChanged requires non-mutating data to work as expected Change javadoc explanation for Mutable List, This PR is related to issue [#6172](https://github.com/ReactiveX/RxJava/issues/6172). With these changes  all reactive types will emit detailed error message when  onSubscribe  hook installed using RxJavaPlugins returns null  observer/subscriber :  **Observable** >  The RxJavaPlugins.onSubscribe hook returned a null Observer. Please check the handler provided to RxJavaPlugins.setOnObservableSubscribe for invalid null returns. Further reading: https://github.com/ReactiveX/RxJava/wiki/Plugins   **Flowable** > The RxJavaPlugins.onSubscribe hook returned a null FlowableSubscriber. Please check the handler provided to RxJavaPlugins.setOnFlowableSubscribe for invalid null returns. Further reading: https://github.com/ReactiveX/RxJava/wiki/Plugins  **Single** > The RxJavaPlugins.onSubscribe hook returned a null SingleObserver. Please check the handler provided to RxJavaPlugins.setOnSingleSubscribe for invalid null returns. Further reading: https://github.com/ReactiveX/RxJava/wiki/Plugins  **Maybe** > The RxJavaPlugins.onSubscribe hook returned a null MaybeObserver. Please check the handler provided to RxJavaPlugins.setOnMaybeSubscribe for invalid null returns. Further reading: https://github.com/ReactiveX/RxJava/wiki/Plugins  **Completable** > The RxJavaPlugins.onSubscribe hook returned a null CompletableObserver. Please check the handler provided to RxJavaPlugins.setOnCompletableSubscribe for invalid null returns. Further reading: https://github.com/ReactiveX/RxJava/wiki/Plugins   **Note :**  There was no null check on  observer  returned from  RxJavaPlugins.onSubscribe(this  observer)  method call in  Completable  s subscribe() method.  So  I ve added it in this PR. Is that fine? Add note in Javadoc explicitly explaining about using Emitter interface methods synchronously.  - Add notes for  generate  methods in Observable and Flowable. - Plus  add the similar note to Emitter interface.  Resolves: #6299 - Add note in javadoc for all  distinctUntilChanged()  methods in  Flowable  and  Observable  class explaining about unexpected results to expect when using mutable data sources like **Mutable CharSequence** or **Lists**.  Resolves: #6290 As per [this](https://github.com/ReactiveX/RxJava/pull/6311#discussion_r234462497) discussion  change javadoc for  distinctUntilChanged()  method for Mutable List.,
1440,Samuel Tardieu,0.6667,=,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1420 auto downloader should respect file pattern and propose correct filename,(https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png),,0,0,0,0,1,1, Allow use of the returned subscription to cancel periodic scheduling, The documentation for schedulePeriodically indicates that the returned subscription can be used to unsubscribe from the periodic action  or to unschedule it if it has not been scheduled yet. That was the case only before the first action took place  and it was then impossible to unsubscribe using the given subscription  although unsubscribing the worker did work.  This fixes #1344.,
1440,Dmitriy Zaitsev,0.6667,=,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1420 auto downloader should respect file pattern and propose correct filename,(https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png),,0,0,0,0,1,1, 2.x: Fix exceptions in javaDoc 1.x: provide an explanation why certain tests are ignored 2.x: provide an explanation why certain tests are ignored, I ve corrected some javadocs for methods that check arguments using  ObjectHelper.requireNonNull(arg   message ) . It throws  NullPointerException  instead of  IllegalArgumentException   but as we know copy-pasting is an insidious thing.  ) During code reading I ve found some tests that are ignored but don t have a record why they are being ignored. Some of them have meaningful explanations present as line comments  so I decided to make them the parameters of  @Ignore  annotation  so it will be correct. The same as #4118  but for 2.x,
1440,Matt Laux,0.6667,=,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1420 auto downloader should respect file pattern and propose correct filename,(https://cloudentcom/assets/2141507/15472274/898030a4-20fa-11e6-9a77-8cfac10688d5png),,0,0,0,0,1,1, 1.x: TestSubscriber::assertValuesAndClear should reset valueCount, During the time between calling  assertValuesAndClear  and providing the next  onNext  event  the  valueCount  is inconsistent with the size of the internal  values  list.,
